scope,id,count_done,count_failed,count_scored,mean_score
model,allenai/olmo-3-32b-think,0,1,0,
model,arcee-ai/trinity-large-thinking,0,1,0,
model,arcee-ai/trinity-mini,0,1,0,
model,google/gemma-4-26b-a4b-it:free,0,1,0,
model,google/gemma-4-31b-it:free,1,0,1,0.975000
model,minimax/minimax-m2.5,0,1,0,
model,qwen/qwen3.5-27b,0,1,0,
model,qwen/qwen3.5-397b-a17b,0,1,0,
model,stepfun/step-3.5-flash,0,1,0,
model,stepfun/step-3.7-flash,0,1,0,
family,allenai,0,1,0,
family,arcee-ai,0,2,0,
family,google,1,1,1,0.975000
family,minimax,0,1,0,
family,qwen,0,2,0,
family,stepfun,0,2,0,
