question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",1,0.715,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,1,0.770,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L3-001,L3,cross_chain_bridge,Bridge 1000 USDC to Arbitrum and buy ARB,1,0.681,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L3-003,L3,cross_chain_bridge,Bridge 2 ETH from Ethereum to Polygon and swap for MATIC,1,0.786,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L4-001,L4,arbitrage,"Rebalance my portfolio to 60% BTC, 30% ETH, 10% USDC. Optimize for matching the 60/30/10 target weights exactly; if current holdings are missing, require follow-up before execution.",1,0.448,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L7-002,L7,lending_borrow,"Unwind my underwater position: 5 ETH collateral, 7,000 USDC borrowed",1,0.415,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L8-004,L8,restaking_optimization,"Optimal Re-staking Strategy with Loan Arbitrage You have 100 ETH currently staked via Lido (earning 4.2% APR as stETH). You're considering re-staking strategies to boost yield. In 8 days, you plan to use this position as collateral to borrow 50 ETH at 5.5% APR for a profitable farming opportunity. Analyze these three options: **Option A: EigenLayer AVS Restaking** - Additional APR: 2.8% (from AVS rewards) - Slashing risk: 3% of staked amount (annual probability) - Minimum lock period: 7 days - Current TVL: $8.2B (highly liquid) - Accepts stETH as collateral: Yes **Option B: Symbiotic Protocol Restaking** - Additional APR: 4.1% (from operator fees) - Slashing risk: 5% of staked amount (annual probability) - Minimum lock period: 14 days - Current TVL: $890M (lower liquidity) - Accepts stETH as collateral: Yes **Option C: Maintain Lido stETH Only** - Additional APR: 0% (baseline) - Slashing risk: 0% (no additional risk) - Minimum lock period: 0 days - Liquid staking token (instant liquidity) - Accepts stETH as collateral: Yes **Constraints** 1. Position must be available as collateral within 8 days for the loan (hard requirement) 2. Target minimum net APR after borrowing costs: 1.0% 3. Maximum acceptable slashing risk: 4% of principal **Task** Determine which strategy maximizes net return while satisfying all constraints. Consider the arbitrage spread between staking yield and borrow costs. Respond with JSON including core execution fields plus decision rationale and detailed factors. Schema hint: Provide top-level keys intent, order_type, asset, size, venue, venue_name, rationale, decision_factors along with flattened numeric mirrors (total_staking_apr, borrow_rate, effective_borrow_cost_on_portfolio, net_apr_after_borrow, meets_net_apr_target, slashing_risk_pct, within_risk_tolerance, liquidity_days, meets_collateral_timing, option_c_net_apr_comparison, option_a_outperformance).",1,0.513,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L8-006,L8,fixed_yield_allocation,"You have 100,000 USDC to deploy into USDe yield strategies. **Current market conditions:** Base Rates: - USDe staking APY: 8.5% - Aave USDC supply APY: 4.2% - Aave USDe borrow APY: 6.8% Pendle Market (PT-USDe expiring in 90 days): - Implied APY: 12.3% - Liquidity depth: $45M - Fixed yield lock until maturity Loop Parameters: - Max safe leverage on Aave: 3x (LTV 75%, liquidation threshold 80%) - Gas costs per loop iteration: ~$8 - Pendle PT purchase slippage on 100K: 0.15% **Strategy Options:** A) Simple Stake: Convert to USDe, stake directly (8.5% APY). B) Leveraged Loop: 3x loop USDe on Aave, stake multiplied amount ((3 × 8.5%) − (2 × 6.8%) = 11.9% APY), risk: liquidation if USDe depegs >2%. C) Pendle PT: Convert to USDe, buy PT-USDe at 12.3% fixed for 90 days (capital locked). D) Hybrid: 2x loop on Aave (50K) + Pendle PT (50K) → 11.25% weighted APY, medium diversification. **Constraints:** medium risk tolerance (avoid >3% depeg exposure), 90-day horizon, priority is maximize APY while staying under 3x leverage. Which strategy should you execute? Return JSON following the schema hint.",1,0.650,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L8-008,L8,risk_parity_execution,"You're executing a risk-parity rebalance (buy side only) across BTC, ETH, GLD, and TLT. Calculate the optimal execution strategy. Required trades: - Buy 0.5 BTC ($22,500) - Buy 8 ETH ($22,400) - Buy 1,200 GLD ($222,000) - Buy 2,400 TLT ($228,000) Venue options: - Coinbase: Crypto only (BTC/ETH), 0.6% fee, instant execution - Interactive Brokers: All assets including crypto, 0.1% fee, T+2 settlement - You may use one venue or split across both Constraints: - Must execute all 4 legs within same trading day - Total fees must not exceed $2,000 - Minimize total fees while executing all positions Assumptions: Fees are charged as a percentage of notional with no minimums. Ignore spreads, slippage, and market impact. Output your execution plan with: 1. Venue for each asset 2. Fee calculation per trade 3. Total fees 4. Total execution cost (notional + fees) 5. Reasoning for strategy choice",1,0.356,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L8-009,L8,cash_and_carry_arbitrage,"ETH perpetual funding rate: +0.08% per 8 hours ETH spot (Coinbase): $2,450 ETH-PERP (Binance): $2,458 You have $100,000 USDC available. Binance ETH-PERP is USDT-margined and requires 1x initial margin (no leverage). Trading fees: 0.02% maker on both venues Network transfer fee: $2 Should you execute a cash-and-carry arbitrage? If yes, provide your decision, reasoning, and execution approach. Respond in JSON format.",1,0.739,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
