model,pass,attempted,scoreable_fail,scoreable_total,dirty_unscoreable,missing_not_attempted,unavailable_out_of_300,dirty_ids
z-ai/glm-5v-turbo,106,190,63,169,21,110,131,L8-005 L9-059 L9-060 L9-061 L9-062 L9-063 L9-064 L9-065 L9-066 L9-067 L9-068 L9-069 L9-070 L10-001 L10-008 L10-015 L10-030 L10-033 L10-034 L10-051 L10-064
poolside/laguna-m.1:free,24,121,82,106,15,179,194,L8-001 L8-003 L9-015 L9-018 L9-029 L9-030 L9-037 L9-039 L9-050 L9-053 L9-058 L9-061 L9-066 L9-070 L9-079
nex-agi/nex-n2-pro:free,22,121,85,107,14,179,193,L8-001 L8-003 L8-008 L8-009 L8-010 L9-013 L9-021 L9-029 L9-031 L9-037 L9-053 L9-055 L9-069 L9-077
moonshotai/kimi-k2-0905,21,40,16,37,3,260,263,L7-003 L8-001 L8-004
nvidia/nemotron-3-ultra-550b-a55b:free,20,58,12,32,26,242,268,L5-003 L7-003 L7-005 L8-002 L8-004 L8-005 L8-007 L8-009 L9-001 L9-002 L9-003 L9-004 L9-005 L9-006 L9-007 L9-008 L9-009 L9-010 L9-011 L9-012 L9-013 L9-014 L9-015 L9-016 L9-017 L9-018
poolside/laguna-xs.2:free,19,121,99,118,3,179,182,L8-001 L8-003 L8-010
moonshotai/kimi-k2-thinking,19,40,15,34,6,260,266,L7-004 L7-005 L8-001 L8-003 L8-005 L8-010
nvidia/nemotron-3-super-120b-a12b:free,15,111,89,104,7,189,196,L9-058 L9-069 L9-070 L9-071 L9-072 L9-073 L9-074
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,14,121,80,94,27,179,206,L7-003 L8-001 L8-002 L8-003 L8-004 L8-005 L8-009 L9-002 L9-004 L9-006 L9-013 L9-026 L9-031 L9-035 L9-037 L9-042 L9-045 L9-047 L9-050 L9-058 L9-061 L9-063 L9-066 L9-069 L9-071 L9-075 L9-079
nvidia/nemotron-3-nano-30b-a3b:free,13,40,27,40,0,260,260,
liquid/lfm-2.5-1.2b-instruct:free,10,40,30,40,0,260,260,
liquid/lfm-2.5-1.2b-thinking:free,9,40,24,33,7,260,267,L8-001 L8-002 L8-003 L8-004 L8-005 L8-009 L8-010
arcee-ai/trinity-large-thinking,7,40,10,17,23,260,283,L3-001 L3-002 L3-003 L4-002 L4-004 L5-001 L5-002 L5-003 L6-001 L6-003 L7-001 L7-003 L7-004 L7-005 L8-001 L8-002 L8-003 L8-004 L8-005 L8-006 L8-007 L8-009 L8-010
google/gemma-4-31b-it:free,0,40,0,0,40,260,300,L1-001 L1-002 L1-003 L2-001 L2-002 L2-003 L2-004 L3-001 L3-002 L3-003 L4-001 L4-002 L4-003 L4-004 L4-005 L5-001 L5-002 L5-003 L5-004 L5-005 L6-001 L6-002 L6-003 L6-004 L6-005 L7-001 L7-002 L7-003 L7-004 L7-005 L8-001 L8-002 L8-003 L8-004 L8-005 L8-006 L8-007 L8-008 L8-009 L8-010
