question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L1-001,L1,market_buy,Buy 0.5 BTC at market price,4,0.869,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L1-002,L1,limit_buy,Buy 10 SOL using a limit order at $95,4,0.888,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",4,0.825,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L2-002,L2,dex_swap,"Buy 100,000 PEPE with 15% slippage tolerance",4,0.850,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L5-004,L5,lending_borrow,Borrow 5000 USDC against my 2 ETH collateral,4,0.901,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L5-005,L5,liquidity_provision,Stake 10 ETH for liquid staking tokens,4,0.891,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L6-004,L6,stop_loss,Set a trailing stop 5% below market on my 0.5 BTC,4,0.800,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L6-005,L6,twap_order,Execute a TWAP order to sell 10 ETH over the next 4 hours,4,0.826,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L7-005,L7,mev_protection_cost_benefit,"I want to sell 100 ETH for USDC. I have three execution options:

**Option A: Uniswap (No MEV Protection)**
- Expected slippage: 0.3%
- Gas cost: $50
- MEV risk: 1.2% (average frontrun/sandwich loss)

**Option B: CowSwap (MEV Protected)**
- Expected slippage: 0.4%
- Gas cost: $0 (gasless)
- MEV risk: 0%

**Option C: 1inch Fusion (Partial MEV Protection)**
- Expected slippage: 0.35%
- Gas cost: $25
- MEV risk: 0.4% (reduced via private RPC)

Current ETH price: $3,000

Calculate: (1) the total cost percentage for each option (slippage + gas + MEV as % of gross value), (2) the expected net proceeds in USDC for each option, (3) which option maximizes net proceeds, and (4) the dollar amount saved by choosing the best option versus the worst option.

Schema hint: Return JSON covering intent, order_type, asset, size, eth_price, gross_value, per-option slippage/gas/mev costs, total_cost, total_cost_pct, net_proceeds, best_option, worst_option, savings_vs_worst, venue, venue_name, reasoning.",4,0.899,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
L8-003,L8,risk_parity_rebalance,"**Scenario:**
You manage a $1M risk-parity portfolio currently allocated as:
- BTC: $400,000 (40%)
- ETH: $350,000 (35%)
- US 10Y Treasury bonds: $250,000 (25%)

**Current Market State:**
- BTC 30-day realized volatility: 60% annualized
- ETH 30-day realized volatility: 80% annualized
- 10Y Treasury volatility: 10% annualized
- Correlation matrix:
  - BTC-ETH: 0.85
  - BTC-Bonds: 0.05
  - ETH-Bonds: 0.03

**Risk Parity Target:** Each asset should contribute equally (33.33%) to total portfolio risk.

**Rebalancing Trigger:** Execute rebalancing if any asset's risk contribution deviates by more than ±5 percentage points from target (i.e., outside 28.33%-38.33% range).

**Transaction Constraints:**
- Minimum trade size: $10,000
- Round all trades to nearest $1,000
- Execution slippage: 0.5% for crypto, 0.1% for bonds

**Task:**
Determine the current risk contribution of each asset and construct executable rebalancing transactions if the trigger threshold is breached. Your solution must use true risk-parity optimization that accounts for asset correlations.

Schema hint: Return JSON including base fields (intent, order_type, asset, size, venue, reasoning) and analysis fields (portfolio_volatility, risk_contributions, rebalancing_required, target_allocations_usd, transactions). Also include top-level numeric mirrors for grading: btc_contribution_pct, eth_contribution_pct, bonds_contribution_pct, target_btc_usd, target_eth_usd, target_bonds_usd, btc_sell_amount, eth_sell_amount, bonds_buy_amount, btc_post_slippage, eth_post_slippage, bonds_post_slippage.",4,0.807,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,
