question_id,model,pass,score,confidence,pass_models_for_question,pass_count_for_question,failure_reasons,raw_excerpt
AGI-015,meta-llama/llama-4-maverick,1,0.778,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:effective_price,"{""intent"": ""swap"", ""order_type"": ""complex"", ""asset"": ""ETH"", ""size"": ""2000000"", ""unit"": ""USDC"", ""venue"": ""multi-venue"", ""venue_name"": ""various"", ""risk_controls"": {""slippage_tolerance"": ""0.5%""}, ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocation_usd"": {""Velodrome_Optimism"": ""400000"", ""Uniswap_Arbitrum"": ""400000"", ""Curve_ETH"": ""400000"", ""Kraken"": ""500000"", ""Binance"": ""300000""}, ""expected_eth_received"": ""665.11"", ""effective_price"": ""3006.91"", ""reasoning"": ""Allocated to multiple venues to minimize cost and avoid repricing: Velodrome Optimism ($400k), Uniswap Arbitrum ($400k), Curve ETH ($400k), Kraken ($500k), and Binance ($300k).""}"
AGI-030,meta-llama/llama-4-maverick,1,0.778,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy,"{""intent"": ""allocate"", ""chosen_strategy"": ""diversified liquid venues"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.69, ""expected_90d_profit_usd"": 2140.27, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Allocated to liquid venues with balanced APY and liquidity""}"
AGI-092,meta-llama/llama-4-maverick,1,0.778,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy,"{""intent"": ""allocate"", ""chosen_strategy"": ""diversified liquid venues"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.74, ""expected_90d_profit_usd"": 2154.79, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Allocated to maximize liquidity and APY within constraints""}"
AGI-063,meta-llama/llama-3.3-70b-instruct,1,0.727,1.00,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{ ""intent"": ""convert"", ""order_type"": ""market"", ""asset"": ""ETH"", ""size"": ""2000000"", ""unit"": ""usd"", ""venue"": ""multiple"", ""risk_controls"": { ""slippage_tolerance"": ""1%"" }, ""follow_up"": ""monitor fill"", ""reasoning"": ""route optimization for $2,000,000 USDC to ETH conversion"", ""chosen_strategy"": ""multi-venue execution"", ""venue_allocation_usd"": { ""Kraken"": 500000, ""Uniswap_Arbitrum"": 450000, ""Curve_ETH"": 400000, ""Binance"": 350000, ""Velodrome_Optimism"": 300000 }, ""largest_visible_clip_usd"": 500000, ""expected_asset_received"": 665.45, ""effective_price"": 3003.92, ""self_check"": true }"
AGI-065,meta-llama/llama-3.3-70b-instruct,1,0.727,0.80,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"```json { ""intent"": ""convert"", ""order_type"": ""multi-venue"", ""asset"": ""SOL"", ""size"": 2000000, ""unit"": ""usd"", ""venue"": ""multi"", ""risk_controls"": { ""slippage_tolerance"": ""1%"", ""max_gas"": ""auto"" }, ""follow_up"": ""monitor fill"", ""reasoning"": ""multi-venue execution to minimize slippage"", ""requires_follow_up"": true, ""follow_up_description"": ""check for completion and potential repricing"", ""chosen_strategy"": ""multi-venue acquisition"", ""venue_allocation_usd"": { ""Binance"": 550000, ""Jupiter_Solana"": 450000, ""Uniswap_Arbitrum"": 350000, ""OTC_Circle"": 350000, ""Coinbase"": 300000 }, ""largest_visible_clip_usd"": 550000, ""expected_asset_received"": 133"
AGI-088,meta-llama/llama-4-maverick,1,0.727,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""KAP"", ""size"": ""120000"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public""], ""venue_fills"": {""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000}, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.928, ""expected_slippage_pct"": 0.366942, ""self_check"": true, ""reasoning"": ""Optimized multi-venue strategy to minimize footprint and slippage""}"
AGI-062,meta-llama/llama-3.3-70b-instruct,0,0.692,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:self_check,"{ ""intent"": ""build delta-neutral ladder"", ""chosen_strategy"": ""diversified short allocation"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 24.4, ""pnl_30d_usd"": 30375, ""cascade_buffer_pct"": 20, ""survives_cascade"": true, ""self_check"": true, ""reasoning"": ""allocated to venues based on resilient capacity and net carry signal, ensuring delta-neutrality and minimizing risk of forced deleveraging"" }"
AGI-015,meta-llama/llama-4-scout,0,0.667,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:effective_price,"{ ""intent"": ""buy"", ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocation_usd"": { ""Velodrome_Optimism"": 400000, ""Uniswap_Arbitrum"": 400000, ""Kraken"": 500000, ""Curve_ETH"": 400000, ""Binance"": 600000 }, ""expected_eth_received"": 665.56, ""effective_price"": 3003.91, ""reasoning"": ""Allocated to venues with sufficient capacity and lowest cost, prioritizing Kraken and Binance for their taker fees and capacity, supplemented by DEX venues."" }"
AGI-031,meta-llama/llama-4-maverick,0,0.667,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:liquidity_48h_usd,"{""intent"": ""allocate"", ""chosen_strategy"": ""diversified_restaking"", ""allocation_usd"": {""Aave_USDC"": 25000, ""Symbiotic_AVS"": 20000, ""EigenLayer_AVS"": 25000, ""Pendle_PT"": 30000}, ""expected_net_apy_pct"": 7.89, ""expected_90d_profit_usd"": 1945.07, ""liquidity_48h_usd"": 45000, ""reasoning"": ""Optimized for liquidity and APY, avoiding tier with adversarial queue""}"
AGI-092,meta-llama/llama-4-scout,0,0.667,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd,"{ ""intent"": ""allocate"", ""chosen_strategy"": ""diversified_allocation"", ""allocation_usd"": { ""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000 }, ""expected_net_apy_pct"": 8.88, ""expected_90d_profit_usd"": 1781.91, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Maximize risk-adjusted returns by allocating across 4 capped venues with liquid 48h exits, skipping the uncapped venue with lower APY and potential queue delays."" }"
