level,n1_passes,n2_passes,delta_pass_rows,n1_avg,n2_avg,delta_avg,combined_passes,combined_rate
L1,9/12,11/12,2,0.822,0.861,0.039,20/24,83.3
L2,8/16,8/16,0,0.761,0.752,-0.009,16/32,50
L3,4/12,4/12,0,0.645,0.628,-0.017,8/24,33.3
L4,3/20,3/20,0,0.301,0.373,0.072,6/40,15
L5,8/20,8/20,0,0.585,0.578,-0.007,16/40,40
L6,13/20,11/20,-2,0.628,0.562,-0.066,24/40,60
L7,6/20,6/20,0,0.294,0.334,0.04,12/40,30
L8,22/40,19/40,-3,0.627,0.586,-0.041,41/80,51.2
L9,51/324,53/324,2,0.157,0.164,0.007,104/648,16
L10,53/276,53/276,0,0.197,0.206,0.009,106/552,19.2
L11,6/440,7/440,1,0.276,0.275,-0.001,13/880,1.5
