scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,0,4,0,
model,anthropic/claude-haiku-4.5,0,4,0,
model,anthropic/claude-opus-4.7,0,4,0,
model,anthropic/claude-opus-4.8,0,4,0,
model,anthropic/claude-sonnet-4.5,0,4,0,
model,anthropic/claude-sonnet-4.6,0,4,0,
model,arcee-ai/trinity-mini,0,4,0,
model,deepcogito/cogito-v2.1-671b,0,4,0,
model,deepseek/deepseek-chat-v3.1,0,4,0,
model,deepseek/deepseek-v3.2,0,4,0,
model,deepseek/deepseek-v3.2-exp,0,4,0,
model,deepseek/deepseek-v4-flash,0,4,0,
model,deepseek/deepseek-v4-pro,0,4,0,
model,google/gemini-3.1-flash-lite,0,4,0,
model,google/gemini-3.1-pro-preview,0,4,0,
model,google/gemini-3.5-flash,0,4,0,
model,google/gemma-4-26b-a4b-it,0,4,0,
model,ibm-granite/granite-4.1-8b,0,4,0,
model,inception/mercury-2,0,4,0,
model,inclusionai/ling-2.6-1t,0,4,0,
model,inclusionai/ling-2.6-flash,0,4,0,
model,inclusionai/ring-2.6-1t,0,4,0,
model,kwaipilot/kat-coder-pro-v2,0,4,0,
model,liquid/lfm-2-24b-a2b,0,4,0,
model,minimax/minimax-m2,0,4,0,
model,minimax/minimax-m2.1,0,4,0,
model,minimax/minimax-m2.5,0,4,0,
model,minimax/minimax-m2.7,0,4,0,
model,minimax/minimax-m3,0,4,0,
model,openai/gpt-5.2-codex,0,4,0,
model,openai/gpt-5.3-codex,0,4,0,
model,openai/gpt-5.4-pro,0,4,0,
model,openai/gpt-5.5,0,4,0,
model,openai/gpt-5.5-pro,0,4,0,
model,prime-intellect/intellect-3,0,4,0,
model,qwen/qwen3-max-thinking,0,4,0,
model,qwen/qwen3.5-122b-a10b,0,4,0,
model,qwen/qwen3.5-27b,0,4,0,
model,qwen/qwen3.5-397b-a17b,0,4,0,
model,qwen/qwen3.5-flash-02-23,0,4,0,
model,qwen/qwen3.5-plus-20260420,0,4,0,
model,qwen/qwen3.6-flash,0,4,0,
model,qwen/qwen3.6-max-preview,0,4,0,
model,qwen/qwen3.7-max,0,4,0,
model,qwen/qwen3.7-plus,0,4,0,
model,x-ai/grok-4.20,0,4,0,
model,x-ai/grok-4.3,0,4,0,
model,x-ai/grok-build-0.1,0,4,0,
model,xiaomi/mimo-v2-flash,0,4,0,
model,xiaomi/mimo-v2.5,0,4,0,
model,xiaomi/mimo-v2.5-pro,0,4,0,
family,arcee-ai,0,4,0,
family,claude,0,24,0,
family,deepcogito,0,4,0,
family,deepseek,0,20,0,
family,google,0,16,0,
family,grok,0,12,0,
family,ibm-granite,0,4,0,
family,inception,0,4,0,
family,inclusionai,0,12,0,
family,kwaipilot,0,4,0,
family,liquid,0,4,0,
family,minimax,0,20,0,
family,openai,0,20,0,
family,prime-intellect,0,4,0,
family,qwen,0,40,0,
family,xiaomi,0,12,0,
