scope,id,count_done,count_failed,count_scored,mean_score
model,arcee-ai/trinity-large-thinking,0,1,0,
model,arcee-ai/trinity-mini,1,0,1,0.868750
model,google/gemma-4-26b-a4b-it,1,0,1,0.975000
model,minimax/minimax-m2.5,1,0,1,0.868750
model,qwen/qwen3.5-27b,1,0,1,0.868750
model,qwen/qwen3.5-397b-a17b,0,1,0,
model,stepfun/step-3.5-flash,0,1,0,
model,stepfun/step-3.7-flash,0,1,0,
family,arcee-ai,1,1,1,0.868750
family,google,1,0,1,0.975000
family,minimax,1,0,1,0.868750
family,qwen,1,1,1,0.868750
family,stepfun,0,2,0,
