id,derivable,unique,recomputed_ok,issue,fix
SB-AGI-001,VERIFIED,UNIQUE,true,"",""
SB-AGI-002,VERIFIED,UNIQUE,true,"",""
SB-AGI-003,VERIFIED,UNIQUE,true,"",""
SB-AGI-004,VERIFIED,UNIQUE,true,"",""
SB-AGI-005,VERIFIED,UNIQUE,true,"",""
SB-AGI-006,PARTIAL,UNIQUE,true,"exposure_reduction_usd uses SPY fill price 499.50 (300*499.50=149850) not position mark 500; a solver reasonably computing exposure removed as 300*500=150000 yields 400000, outside tolerance 0.","State that exposure reduction for the equity leg uses sale proceeds at the executable price, or set exposure_reduction to 400000 using the 500 mark."
SB-AGI-007,VERIFIED,UNIQUE,true,"",""
SB-AGI-008,VERIFIED,UNIQUE,true,"",""
SB-AGI-009,VERIFIED,UNIQUE,true,"",""
SB-AGI-010,VERIFIED,UNIQUE,true,"",""
SB-AGI-011,VERIFIED,UNIQUE,true,"",""
SB-AGI-012,VERIFIED,UNIQUE,true,"",""
SB-AGI-013,VERIFIED,UNIQUE,true,"",""
SB-AGI-014,VERIFIED,UNIQUE,true,"",""
SB-AGI-015,VERIFIED,UNIQUE,true,"",""
SB-AGI-016,VERIFIED,UNIQUE,true,"",""
SB-AGI-017,VERIFIED,UNIQUE,true,"",""
SB-AGI-018,VERIFIED,UNIQUE,true,"",""
SB-AGI-019,VERIFIED,UNIQUE,true,"",""
SB-AGI-020,PARTIAL,UNIQUE,true,"Critical string field 'decision' expected exactly 'manage_assignment', a value not stated anywhere in section A (no such verb in task/objective); solver must guess the exact enum.","State the required decision token in the prompt or accept a set of synonyms."
SB-AGI-021,VERIFIED,UNIQUE,true,"",""
SB-AGI-022,VERIFIED,UNIQUE,true,"",""
SB-AGI-023,PARTIAL,UNIQUE,true,"Critical string field 'decision' expected exactly 'exercise_decision', a token not stated anywhere in section A; solver must guess the exact enum.","State the required decision token in the prompt or accept synonyms."
SB-AGI-024,VERIFIED,UNIQUE,true,"",""
SB-AGI-025,VERIFIED,UNIQUE,true,"",""
SB-AGI-026,PARTIAL,UNIQUE,true,"Critical string field 'decision' expected exactly 'manage_assignment', a token not stated anywhere in section A; solver must guess the exact enum.","State the required decision token in the prompt or accept synonyms."
SB-AGI-027,PARTIAL,UNIQUE,true,"Critical string field 'decision' expected exactly 'trade', a token not present in section A (task says 'Select the feasible strategy'); solver must guess the exact enum.","State the required decision token in the prompt or accept synonyms."
SB-AGI-028,VERIFIED,UNIQUE,true,"",""
SB-AGI-029,PARTIAL,UNIQUE,true,"Critical string field 'decision' expected exactly 'trade', a token not present in section A (task says 'Choose the feasible bearish implementation'); solver must guess the exact enum.","State the required decision token in the prompt or accept synonyms."
