question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,{aliases[m]}_error,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,{aliases[m]}_error,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,{aliases[m]}_error,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures,{aliases[m]}_error
L1-001,1,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.869,1524,1,0.869,2451,,,1,0.869,1758,,,1,0.869,444,,,1,0.869,1441,,
L1-002,1,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.930,2785,1,1.000,4463,,,1,0.904,3044,,,1,0.817,1877,,,1,1.000,1756,,
L2-002,2,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.852,2269,1,0.926,1846,,,1,0.776,2276,,,1,0.926,4263,,,1,0.780,692,mismatch_fieldname,
L5-004,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.864,4477,1,0.853,9414,,,1,0.873,1589,,,1,0.871,4530,,,1,0.858,2373,,
L5-005,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.892,6429,1,0.947,16642,,,1,0.934,2040,,,1,0.867,4266,,,1,0.822,2767,,
L6-002,6,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.831,4890,1,0.895,10834,,,1,0.895,1696,,,1,0.760,3321,,,1,0.775,3709,,
L8-003,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.807,10202,1,0.807,15648,,,1,0.807,3520,,,1,0.807,12675,missing_field|missing_field,,1,0.807,8965,,
L8-005,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,4305,1,1.000,7489,,,1,1.000,2155,,,1,1.000,4072,,,1,1.000,3502,,
L9-011,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2034,1,1.000,4554,,,1,1.000,1492,,,1,1.000,808,,,1,1.000,1281,,
L9-012,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,1900,1,1.000,1663,,,1,1.000,3459,,,1,1.000,1420,,,1,1.000,1057,,
L9-020,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,1403,1,1.000,2870,,,1,1.000,1200,,,1,1.000,720,,,1,1.000,822,,
L9-060,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,1296,1,1.000,923,,,1,1.000,1764,,,1,1.000,1500,,,1,1.000,997,,
L9-068,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2128,1,1.000,1368,,,1,1.000,948,,,1,1.000,5105,,,1,1.000,1090,,
L9-076,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,1821,1,1.000,1252,,,1,1.000,559,,,1,1.000,1808,,,1,1.000,3664,,
L10-046,10,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2455,1,1.000,1849,,,1,1.000,2423,,,1,1.000,4637,,,1,1.000,912,,
L10-063,10,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.850,2016,1,0.700,2395,,,1,0.700,1501,,,1,1.000,1949,,,1,1.000,2218,,
