level,questions,model_question_pairs,n1_pass_rows,n1_pass_rate_pct,n1_avg_score,n1_avg_duration_ms,n2_pass_rows,n2_pass_rate_pct,n2_avg_score,n2_avg_duration_ms,n3_pass_rows,n3_pass_rate_pct,n3_avg_score,n3_avg_duration_ms,majority_pass_model_question_pairs,majority_total_pairs,majority_pass_rate_pct
L1,3,12,9/12,75,0.822,3198,11/12,91.7,0.861,2419,12/12,100,0.861,2764,11,12,91.7
L2,4,16,8/16,50,0.761,3510,8/16,50,0.752,2476,8/16,50,0.744,4717,7,16,43.8
L3,3,12,4/12,33.3,0.645,5386,4/12,33.3,0.628,3991,4/12,33.3,0.640,4716,4,12,33.3
L4,5,20,3/20,15,0.301,5155,3/20,15,0.373,4095,2/20,10,0.301,3795,2,20,10
L5,5,20,8/20,40,0.585,4690,8/20,40,0.578,4438,9/20,45,0.591,3294,8,20,40
L6,5,20,13/20,65,0.628,3275,11/20,55,0.562,3727,14/20,70,0.637,2467,13,20,65
L7,5,20,6/20,30,0.294,6587,6/20,30,0.334,4738,7/20,35,0.337,4904,7,20,35
L8,10,40,22/40,55,0.627,7797,19/40,47.5,0.586,4521,25/40,62.5,0.680,5883,23,40,57.5
L9,81,324,51/324,15.7,0.157,4387,53/324,16.4,0.164,2928,56/324,17.3,0.173,3940,53,324,16.4
L10,69,276,53/276,19.2,0.197,3122,53/276,19.2,0.206,3129,52/276,18.8,0.199,3272,50,276,18.1
L11/AGI,110,440,6/440,1.4,0.276,4798,7/440,1.6,0.275,4227,7/440,1.6,0.275,3731,5,440,1.1
