scope,id,count_done,count_failed,count_scored,mean_score
model,allenai/olmo-3-32b-think,0,1,0,
model,anthropic/claude-fable-5,1,0,1,0.868750
model,anthropic/claude-haiku-4.5,1,0,1,0.868750
model,anthropic/claude-opus-4.7,1,0,1,1.000000
model,anthropic/claude-opus-4.8,1,0,1,1.000000
model,anthropic/claude-sonnet-4.5,1,0,1,0.868750
model,anthropic/claude-sonnet-4.6,1,0,1,0.868750
model,arcee-ai/trinity-large-thinking,0,1,0,
model,arcee-ai/trinity-mini,0,1,0,
model,deepcogito/cogito-v2.1-671b,1,0,1,0.868750
model,deepseek/deepseek-chat-v3.1,1,0,1,0.868750
model,deepseek/deepseek-v3.2,1,0,1,0.868750
model,deepseek/deepseek-v3.2-exp,1,0,1,0.868750
model,deepseek/deepseek-v4-flash,1,0,1,0.868750
model,deepseek/deepseek-v4-pro,1,0,1,0.868750
model,google/gemini-3.1-flash-lite,1,0,1,0.975000
model,google/gemini-3.1-pro-preview,1,0,1,0.200000
model,google/gemini-3.5-flash,1,0,1,0.843750
model,google/gemma-4-26b-a4b-it:free,0,1,0,
model,google/gemma-4-31b-it:free,0,1,0,
model,ibm-granite/granite-4.1-8b,1,0,1,0.868750
model,inception/mercury-2,1,0,1,0.868750
model,inclusionai/ling-2.6-1t,1,0,1,0.868750
model,inclusionai/ling-2.6-flash,1,0,1,0.868750
model,inclusionai/ring-2.6-1t,1,0,1,0.868750
model,kwaipilot/kat-coder-pro-v2,1,0,1,0.868750
model,liquid/lfm-2-24b-a2b,1,0,1,0.871429
model,liquid/lfm-2.5-1.2b-instruct:free,1,0,1,0.868750
model,liquid/lfm-2.5-1.2b-thinking:free,1,0,1,0.868750
model,minimax/minimax-m2,1,0,1,0.868750
model,minimax/minimax-m2.1,1,0,1,0.868750
model,minimax/minimax-m2.5,0,1,0,
model,minimax/minimax-m2.7,1,0,1,1.000000
model,minimax/minimax-m3,1,0,1,0.868750
model,nex-agi/nex-n2-pro:free,1,0,1,0.868750
model,nvidia/nemotron-3-nano-30b-a3b:free,1,0,1,0.000000
model,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,1,0,1,1.000000
model,nvidia/nemotron-3-super-120b-a12b:free,1,0,1,0.868750
model,nvidia/nemotron-3-ultra-550b-a55b:free,1,0,1,0.868750
model,openai/gpt-5.2-codex,1,0,1,0.868750
model,openai/gpt-5.3-codex,1,0,1,0.868750
model,openai/gpt-5.4-pro,1,0,1,0.868750
model,openai/gpt-5.5,1,0,1,0.861538
model,openai/gpt-5.5-pro,1,0,1,0.868750
model,poolside/laguna-m.1:free,1,0,1,0.868750
model,poolside/laguna-xs.2:free,1,0,1,0.843750
model,prime-intellect/intellect-3,1,0,1,0.750000
model,qwen/qwen3-max-thinking,1,0,1,0.868750
model,qwen/qwen3.5-122b-a10b,1,0,1,0.868750
model,qwen/qwen3.5-27b,0,1,0,
model,qwen/qwen3.5-397b-a17b,0,1,0,
model,qwen/qwen3.5-flash-02-23,1,0,1,0.868750
model,qwen/qwen3.5-plus-20260420,1,0,1,0.868750
model,qwen/qwen3.6-27b,1,0,1,0.843750
model,qwen/qwen3.6-flash,1,0,1,0.868750
model,qwen/qwen3.6-max-preview,1,0,1,0.868750
model,qwen/qwen3.7-max,1,0,1,0.868750
model,qwen/qwen3.7-plus,1,0,1,0.868750
model,stepfun/step-3.5-flash,0,1,0,
model,stepfun/step-3.7-flash,0,1,0,
model,x-ai/grok-4.20,1,0,1,0.868750
model,x-ai/grok-4.3,1,0,1,0.868750
model,x-ai/grok-build-0.1,1,0,1,0.868750
model,xiaomi/mimo-v2-flash,1,0,1,0.868750
model,xiaomi/mimo-v2.5,1,0,1,0.868750
model,xiaomi/mimo-v2.5-pro,1,0,1,0.868750
family,allenai,0,1,0,
family,arcee-ai,0,2,0,
family,claude,6,0,6,0.912500
family,deepcogito,1,0,1,0.868750
family,deepseek,5,0,5,0.868750
family,google,3,2,3,0.672917
family,grok,3,0,3,0.868750
family,ibm-granite,1,0,1,0.868750
family,inception,1,0,1,0.868750
family,inclusionai,3,0,3,0.868750
family,kwaipilot,1,0,1,0.868750
family,liquid,3,0,3,0.869643
family,minimax,4,1,4,0.901562
family,nex-agi,1,0,1,0.868750
family,nvidia,4,0,4,0.684375
family,openai,5,0,5,0.867308
family,poolside,2,0,2,0.856250
family,prime-intellect,1,0,1,0.750000
family,qwen,9,2,9,0.865972
family,stepfun,0,2,0,
family,xiaomi,3,0,3,0.868750
