question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L1-001,L1,market_buy,Buy 0.5 BTC at market price,2,0.869,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L1-002,L1,limit_buy,Buy 10 SOL using a limit order at $95,2,0.928,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",2,0.829,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,2,0.850,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L2-002,L2,dex_swap,"Buy 100,000 PEPE with 15% slippage tolerance",2,0.926,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L2-003,L2,dex_swap,Buy 1000 MATIC with minimal gas fees,2,0.770,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L4-001,L4,arbitrage,"Rebalance my portfolio to 60% BTC, 30% ETH, 10% USDC. Optimize for matching the 60/30/10 target weights exactly; if current holdings are missing, require follow-up before execution.",2,0.946,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L5-004,L5,lending_borrow,Borrow 5000 USDC against my 2 ETH collateral,2,0.925,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L5-005,L5,liquidity_provision,Stake 10 ETH for liquid staking tokens,2,0.980,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-002,L6,futures_trade,Set up DCA — buy $500 of BTC weekly for 3 months,2,0.895,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-003,L6,futures_trade,"Create ladder buy orders every $1,000 from $40k to $45k for BTC",2,0.784,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-004,L6,stop_loss,Set a trailing stop 5% below market on my 0.5 BTC,2,0.791,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-005,L6,twap_order,Execute a TWAP order to sell 10 ETH over the next 4 hours,2,0.826,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L7-005,L7,mev_protection_cost_benefit,"I want to sell 100 ETH for USDC. I have three execution options: **Option A: Uniswap (No MEV Protection)** - Expected slippage: 0.3% - Gas cost: $50 - MEV risk: 1.2% (average frontrun/sandwich loss) **Option B: CowSwap (MEV Protected)** - Expected slippage: 0.4% - Gas cost: $0 (gasless) - MEV risk: 0% **Option C: 1inch Fusion (Partial MEV Protection)** - Expected slippage: 0.35% - Gas cost: $25 - MEV risk: 0.4% (reduced via private RPC) Current ETH price: $3,000 Calculate: (1) the total cost percentage for each option (slippage + gas + MEV as % of gross value), (2) the expected net proceeds in USDC for each option, (3) which option maximizes net proceeds, and (4) the dollar amount saved by choosing the best option versus the worst option. Schema hint: Return JSON covering intent, order_type, asset, size, eth_price, gross_value, per-option slippage/gas/mev costs, total_cost, total_cost_pct, net_proceeds, best_option, worst_option, savings_vs_worst, venue, venue_name, reasoning.",2,0.953,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L8-003,L8,risk_parity_rebalance,"**Scenario:** You manage a $1M risk-parity portfolio currently allocated as: - BTC: $400,000 (40%) - ETH: $350,000 (35%) - US 10Y Treasury bonds: $250,000 (25%) **Current Market State:** - BTC 30-day realized volatility: 60% annualized - ETH 30-day realized volatility: 80% annualized - 10Y Treasury volatility: 10% annualized - Correlation matrix: - BTC-ETH: 0.85 - BTC-Bonds: 0.05 - ETH-Bonds: 0.03 **Risk Parity Target:** Each asset should contribute equally (33.33%) to total portfolio risk. **Rebalancing Trigger:** Execute rebalancing if any asset's risk contribution deviates by more than ±5 percentage points from target (i.e., outside 28.33%-38.33% range). **Transaction Constraints:** - Minimum trade size: $10,000 - Round all trades to nearest $1,000 - Execution slippage: 0.5% for crypto, 0.1% for bonds **Task:** Determine the current risk contribution of each asset and construct executable rebalancing transactions if the trigger threshold is breached. Your solution must use true risk-parity optimization that accounts for asset correlations. Schema hint: Return JSON including base fields (intent, order_type, asset, size, venue, reasoning) and analysis fields (portfolio_volatility, risk_contributions, rebalancing_required, target_allocations_usd, transactions). Also include top-level numeric mirrors for grading: btc_contribution_pct, eth_contribution_pct, bonds_contribution_pct, target_btc_usd, target_eth_usd, target_bonds_usd, btc_sell_amount, eth_sell_amount, bonds_buy_amount, btc_post_slippage, eth_post_slippage, bonds_post_slippage.",2,0.852,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L8-005,L8,risk_adjusted_leverage,"You manage a leveraged ETH yield farming position on Aave with these parameters: Current Position: - Collateral: 10 ETH deposited ($20,000 at $2,000/ETH) - Borrowed: $40,000 USDC, used to purchase 20 additional ETH - Total Exposure: 30 ETH ($60,000) - Effective Leverage: 3× - Liquidation Price: $1,400 (30% drop from current) Yield Structure: - Earning: 8% APY on 30 ETH exposure ($4,800/year) - Paying: 5% APY on $40,000 debt ($2,000/year) - Net Carry: $2,800/year = 4.67% APY on $60k exposure - Weekly Net Carry: $53.85 Market Conditions: - Current ETH Price: $2,000 - 30-day realized volatility: 65% annualized - Expected 7-day volatility (from options): 95% annualized - Weekly volatility: 95% / √52 = 13.17% Liquidation Mechanics: - Aave monitors continuously and liquidates when LTV threshold is breached - Liquidation cost: $1,000 (5% of collateral penalty) - Price model: Geometric Brownian Motion with μ=0 (log drift m = -0.5σ² per period) - EV scope: include carry income minus expected liquidation penalty; exclude mark-to-market P&L (zero drift). Available actions for the next 7 days during a volatility expansion: A) Maintain 3× leverage (liquidation $1,400, weekly carry $53.85) B) Deleverage to 2× leverage (liquidation $1,200, weekly carry $42.31) C) Deleverage to 1.5× leverage (liquidation $1,000, weekly carry $36.54) D) Close position entirely (zero carry, zero risk) Institutional policy: keep weekly liquidation probability ≤0.5%. Assume barrier-hitting probability for liquidation (continuous monitoring). Task: Identify the optimal risk-adjusted action for a 7-day horizon. Provide liquidation probabilities and expected values for each option and explain your reasoning. Optimize for the highest expected value among actions satisfying the weekly liquidation probability limit of 0.5%. Schema hint: Return JSON with keys {action, action_name, liquidation_probabilities, expected_values, reasoning, calculation_method?}. Do not include legacy keys like order_type, asset, venue, risk_controls, follow_up, or requires_follow_up.",2,1.000,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L8-009,L8,cash_and_carry_arbitrage,"ETH perpetual funding rate: +0.08% per 8 hours ETH spot (Coinbase): $2,450 ETH-PERP (Binance): $2,458 You have $100,000 USDC available. Binance ETH-PERP is USDT-margined and requires 1x initial margin (no leverage). Trading fees: 0.02% maker on both venues Network transfer fee: $2 Should you execute a cash-and-carry arbitrage? If yes, provide your decision, reasoning, and execution approach. Respond in JSON format.",2,1.000,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
