model,question_id,pass,score,confidence,failure_reasons,field_scores,raw_snippet
mistralai/mistral-small-2603,AGI-015,1,0.778,1.000,agi_validation_failed:intent;agi_validation_failed:effective_price,"{""intent"":0,""chosen_strategy"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""expected_eth_received"":1,""effective_price"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocation_usd"": {""Velodrome_Optimism"": 400000, ""Uniswap_Arbitrum"": 400000, ""Kraken"": 500000, ""Curve_ETH"": 400000, ""Binance"": 300000}, ""expected_eth_received"": ""665.34"", ""effective_p"
mistralai/mistral-small-2603,AGI-030,1,0.778,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{""intent"": ""allocate"", ""chosen_strategy"": ""multi-protocol stable yield"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.74, ""expected_90d_profit_usd"": 2185, ""liquidity_48h_usd"": 5"
mistralai/mistral-small-2603,AGI-092,1,0.778,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{""intent"": ""allocate"", ""chosen_strategy"": ""balanced_liquid_term_split"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.64, ""expected_90d_profit_usd"": 2160, ""liquidity_48h_usd"": 50"
mistralai/mistral-medium-3-5,AGI-024,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_venue"", ""asset"": ""ABC"", ""size"": 50000, ""unit"": ""ABC"", ""venue"": ""multi"", ""venue_name"": ""composite execution"", ""risk_controls"": { ""slippage_tolerance"": ""1.5%"", ""position_size_limit"": 50000 }, ""chosen_strategy"": ""stealth ex"
mistralai/mistral-medium-3-5,AGI-026,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi-venue"", ""asset"": ""KAP"", ""size"": 120000, ""unit"": ""KAP"", ""venue"": ""multi"", ""venue_name"": ""Internalizer, Dark_RFQ, CEX_Y, Hidden Public"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"", ""position_size_limit"": 13000 }, ""cho"
mistralai/mistral-medium-3-5,AGI-063,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":1,""effective_price"":1,""self_check"":0}","{ ""intent"": ""swap"", ""order_type"": ""multi-venue"", ""asset"": ""ETH"", ""size"": 2000000, ""unit"": ""usd"", ""venue"": ""multi"", ""venue_name"": ""split across private and public routes"", ""risk_controls"": { ""slippage_tolerance"": ""0.1%"", ""max_gas"": ""50 gwei"" }, ""follow_up"": ""mo"
mistralai/mistral-small-2603,AGI-064,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Binance"":1,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Coinbase"":1,""venue_allocation_usd.Curve_BTC"":1,""venue_allocation_usd.OTC_Circle"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":1,""effective_price"":1,""self_check"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""multi_venue_split"", ""venue_allocation_usd"": {""Binance"": 600000, ""Kraken"": 500000, ""Coinbase"": 300000, ""Curve_BTC"": 300000, ""OTC_Circle"": 300000}, ""largest_visible_clip_usd"": 600000, ""expected_asset_received"": 33.3533, ""eff"
mistralai/mistral-small-2603,AGI-065,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Binance"":1,""venue_allocation_usd.Jupiter_Solana"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.OTC_Circle"":1,""venue_allocation_usd.Coinbase"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":1,""effective_price"":1,""self_check"":0}","{""intent"": ""swap"", ""chosen_strategy"": {""Binance"": 550000, ""Jupiter_Solana"": 450000, ""Uniswap_Arbitrum"": 350000, ""OTC_Circle"": 350000, ""Coinbase"": 300000}, ""venue_allocation_usd"": {""Binance"": 550000, ""Jupiter_Solana"": 450000, ""Uniswap_Arbitrum"": 350000, ""OTC_Ci"
mistralai/mistral-medium-3-5,AGI-086,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_venue"", ""asset"": ""ABC"", ""size"": 50000, ""unit"": ""ABC"", ""venue"": ""multi"", ""venue_name"": ""composite"", ""chosen_strategy"": ""stealth_aggregation"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""RFQ_A"", ""hidden_public""], """
mistralai/mistral-medium-3-5,AGI-088,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_leg"", ""asset"": ""KAP"", ""size"": 120000, ""unit"": ""KAP"", ""venue"": ""multi_venue"", ""venue_name"": ""Internalizer, Dark_RFQ, CEX_Y, Hidden Public"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"", ""position_size_limit"": 120000 },"
mistralai/mistral-medium-3-5,AGI-015,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:expected_eth_received;agi_validation_failed:effective_price,"{""intent"":0,""chosen_strategy"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""expected_eth_received"":0,""effective_price"":0}","{ ""intent"": ""swap"", ""order_type"": ""multi_venue"", ""asset"": ""ETH"", ""size"": 2000000, ""unit"": ""usd"", ""venue"": ""multi"", ""venue_name"": ""capacity_capped_best_execution"", ""risk_controls"": { ""slippage_tolerance"": ""0.1%"", ""max_gas"": ""150"" }, ""chosen_strategy"": ""capacity"
mistralai/mistral-medium-3-5,AGI-030,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_net_apy_pct,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":0,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{ ""intent"": ""allocate"", ""order_type"": ""strategic_allocation"", ""asset"": ""stablecoins"", ""size"": 100000, ""unit"": ""usd"", ""venue"": ""multi-protocol"", ""venue_name"": ""Aave, Curve, Ethena, GMX"", ""risk_controls"": { ""position_size_limit"": 100000, ""slippage_tolerance"": 0 "
mistralai/mistral-medium-3-5,AGI-031,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:liquidity_48h_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":0,""allocation_usd.Aave_USDC"":1,""allocation_usd.Symbiotic_AVS"":1,""allocation_usd.EigenLayer_AVS"":1,""allocation_usd.Pendle_PT"":1}","{ ""intent"": ""allocate"", ""order_type"": ""strategic_allocation"", ""asset"": ""USDC"", ""size"": 100000, ""unit"": ""usd"", ""venue"": ""multi_protocol"", ""venue_name"": ""restaking_yield_holdout"", ""risk_controls"": { ""position_size_limit"": 100000, ""slippage_tolerance"": 0 }, ""chos"
mistralai/mistral-medium-3-5,AGI-092,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_net_apy_pct,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":0,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{ ""intent"": ""allocate"", ""order_type"": ""yield_allocation"", ""asset"": ""USD"", ""size"": 100000, ""unit"": ""usd"", ""venue"": ""multi_protocol"", ""venue_name"": ""Aave, Curve, Ethena, GMX"", ""risk_controls"": { ""position_size_limit"": 100000, ""slippage_tolerance"": 0 }, ""chosen_s"
mistralai/mistral-small-2603,AGI-024,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential dark pool execution with hidden public iceberg"", ""execution_sequence"": [ { ""step"": 1, ""venue"": ""Dark_RFQ"", ""size"": 15000, ""price"": 1.206, ""deadline"": ""T+20s"" }, { ""step"": 2, ""venue"": ""Internalizer"", ""size"": 180"
mistralai/mistral-medium-3-5,AGI-025,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_venue"", ""asset"": ""RHO"", ""size"": 80000, ""unit"": ""RHO"", ""venue"": ""multi"", ""venue_name"": ""CEX_Y, Dark_RFQ, RFQ_A, Hidden Public"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"", ""position_size_limit"": 80000 }, ""chosen_stra"
mistralai/mistral-small-2603,AGI-025,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""sequential_venue_routing_with_hidden_public"", ""execution_sequence"": [""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": {""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000}, ""hidden_public"
mistralai/mistral-small-2603,AGI-026,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""multi-venue sequential with hidden public iceberg"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""hidden_public"", ""CEX_Y""], ""venue_fills"": {""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 1"
mistralai/mistral-small-2603,AGI-086,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential dark pool execution with hidden public iceberg"", ""execution_sequence"": [ { ""step"": 1, ""venue"": ""Dark_RFQ"", ""size"": 15000, ""price"": 1.206, ""deadline"": ""T+20s"" }, { ""step"": 2, ""venue"": ""Internalizer"", ""size"": 180"
mistralai/mistral-medium-3-5,AGI-087,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi-venue"", ""asset"": ""RHO"", ""size"": 80000, ""unit"": ""RHO"", ""venue"": ""multi"", ""venue_name"": ""CEX_Y, Dark_RFQ, RFQ_A, hidden_public"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"", ""position_size_limit"": 80000 }, ""chosen_stra"
mistralai/mistral-small-2603,AGI-087,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_slippage_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.CEX_Y"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":0,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential_iceberg_hidden_public"", ""execution_sequence"": [""CEX_Y"", ""Dark_RFQ"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": { ""CEX_Y"": 22000, ""Dark_RFQ"": 25000, ""RFQ_A"": 24000, ""hidden_public"": 9000 }, ""hidden_public_qty"": 9"
mistralai/mistral-small-2603,AGI-088,0,0.636,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:execution_sequence;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":0,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""stealth_sequential"", ""execution_sequence"": [ { ""step"": 1, ""venue"": ""Internalizer"", ""order_type"": ""hidden_limit"", ""size"": 42000, ""price"": 4.925, ""time_deadline"": ""T+20s"" }, { ""step"": 2, ""venue"": ""Dark_RFQ"", ""order_type"": """
mistralai/mistral-small-2603,AGI-062,0,0.615,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:pnl_30d_usd;agi_validation_failed:cascade_buffer_pct;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":1,""pnl_30d_usd"":0,""cascade_buffer_pct"":0,""survives_cascade"":1,""self_check"":0}","{""intent"": ""short"", ""chosen_strategy"": ""delta-neutral ladder across perp venues with spot long custody"", ""perp_short_allocation_usd"": {""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000}, ""leverage"": 1, ""apr_pct"": 24.2, ""pnl_"
