L1-001 (L1, score=0.869, durationMs=1904)
L1-002 (L1, score=0.904, durationMs=4666)
L1-003 (L1, score=1.000, durationMs=5333)
L2-002 (L2, score=0.776, durationMs=5501)
L2-003 (L2, score=0.920, durationMs=5756)
L3-003 (L3, score=0.814, durationMs=6980)
L4-004 (L4, score=0.920, durationMs=4194)
L5-004 (L5, score=0.873, durationMs=4884)
L5-005 (L5, score=0.934, durationMs=1391)
L6-002 (L6, score=0.895, durationMs=2147)
L6-003 (L6, score=0.775, durationMs=4960)
L6-004 (L6, score=0.840, durationMs=4770)
L6-005 (L6, score=0.779, durationMs=2100)
L7-002 (L7, score=0.830, durationMs=3678)
L7-005 (L7, score=0.982, durationMs=14257)
L8-003 (L8, score=0.807, durationMs=8653)
L8-004 (L8, score=0.744, durationMs=4865)
L8-005 (L8, score=1.000, durationMs=4743)
L8-006 (L8, score=0.891, durationMs=5812)
L8-009 (L8, score=1.000, durationMs=7486)
L8-010 (L8, score=0.732, durationMs=4029)
L9-011 (L9, score=1.000, durationMs=2386)
L9-012 (L9, score=1.000, durationMs=2072)
L9-020 (L9, score=1.000, durationMs=1848)
L9-024 (L9, score=1.000, durationMs=2432)
L9-025 (L9, score=1.000, durationMs=3760)
L9-028 (L9, score=1.000, durationMs=2230)
L9-032 (L9, score=1.000, durationMs=1638)
L9-036 (L9, score=1.000, durationMs=1355)
L9-040 (L9, score=1.000, durationMs=4019)
L9-044 (L9, score=1.000, durationMs=2070)
L9-047 (L9, score=1.000, durationMs=1855)
L9-048 (L9, score=1.000, durationMs=2283)
L9-049 (L9, score=1.000, durationMs=3946)
L9-052 (L9, score=1.000, durationMs=890)
L9-060 (L9, score=1.000, durationMs=1567)
L9-068 (L9, score=1.000, durationMs=989)
L9-076 (L9, score=1.000, durationMs=836)
L10-002 (L10, score=1.000, durationMs=2966)
L10-003 (L10, score=1.000, durationMs=7327)
L10-005 (L10, score=1.000, durationMs=7007)
L10-012 (L10, score=1.000, durationMs=4403)
L10-020 (L10, score=1.000, durationMs=3187)
L10-022 (L10, score=0.700, durationMs=2265)
L10-037 (L10, score=1.000, durationMs=4074)
L10-045 (L10, score=1.000, durationMs=3375)
L10-046 (L10, score=1.000, durationMs=4905)
L10-063 (L10, score=0.700, durationMs=2817)
AGI-004 (L11, score=0.731, durationMs=5932)
AGI-006 (L11, score=0.765, durationMs=3323)
AGI-015 (L11, score=0.923, durationMs=4959)
AGI-088 (L11, score=0.727, durationMs=2200)
