question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms
L1-001,1,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.756,3285,1,0.869,5369,1,0.869,1904,0,0.419,4218,1,0.869,1650
L1-003,1,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.775,3028,1,0.875,3035,1,1.000,5333,0,0.637,1898,0,0.589,1844
L2-001,2,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.730,3221,0,0.690,3000,0,0.690,3257,1,0.850,3974,0,0.690,2651
L2-003,2,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.838,4572,1,0.976,4056,1,0.920,5756,1,0.821,6546,0,0.635,1930
L3-001,3,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.584,5763,0,0.663,11560,0,0.443,6072,1,0.866,2603,0,0.364,2817
L3-003,3,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.783,6536,1,0.795,11222,1,0.814,6980,1,0.963,5632,0,0.559,2308
L4-001,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.195,4045,1,0.780,7735,0,0.000,3084,0,0.000,2592,0,0.000,2768
L4-002,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.176,4393,1,0.704,3713,0,0.000,3426,0,0.000,7534,0,0.000,2897
L4-004,4,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.230,5440,0,0.000,13547,1,0.920,4194,0,0.000,3554,0,0.000,463
L6-003,6,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.720,3323,1,0.775,3544,1,0.775,4960,0,0.673,2988,0,0.657,1799
L6-004,6,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.784,3845,0,0.576,5230,1,0.840,4770,1,0.863,3215,1,0.856,2165
L7-002,7,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.562,3059,1,0.830,3800,1,0.830,3678,0,0.276,3237,0,0.312,1519
L8-004,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.779,14788,1,1.000,45094,1,0.744,4865,1,0.907,5433,0,0.467,3759
L8-006,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.777,6541,0,0.279,14453,1,0.891,5812,1,1.000,3789,1,0.940,2108
L8-008,8,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.356,18266,1,0.713,59212,0,0.000,4853,1,0.713,5083,0,0.000,3916
L8-009,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.871,4875,0,0.484,2711,1,1.000,7486,1,1.000,3237,1,1.000,6067
L8-010,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.739,6808,1,0.826,18418,1,0.732,4029,1,0.738,3252,0,0.660,1531
L9-009,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2415,1,1.000,1605,0,0.000,971,0,0.000,3810,0,0.000,3274
L9-016,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2097,1,1.000,2374,0,0.000,1361,0,0.000,3564,0,0.000,1090
