question_id,level,rubric_id,prompt,model,pass_count_3,majority_pass,pass_bits_n1_n2_n3,scores_n1_n2_n3,avg_score,median_score,avg_duration_ms
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",mistralai/mistral-small-2603,2,1,0|1|1,0.592|0.77|0.803,0.722,0.770,1231
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,mistralai/mistral-small-2603,1,0,0|0|1,0.69|0.69|0.85,0.743,0.690,1878
L3-001,L3,cross_chain_bridge,Bridge 1000 USDC to Arbitrum and buy ARB,mistralai/mistral-medium-3-5,1,0,1|0|0,0.939|0.583|0.583,0.702,0.583,2197
L4-001,L4,arbitrage,"Rebalance my portfolio to 60% BTC, 30% ETH, 10% USDC. Optimize for matching the 60/30/10 target weights exactly; if current holdings are missing, require follow-up before execution.",mistralai/mistral-small-2603,1,0,0|0|1,0|0.497|1,0.499,0.497,1235
L7-002,L7,lending_borrow,"Unwind my underwater position: 5 ETH collateral, 7,000 USDC borrowed",mistralai/mistral-medium-3-5,2,1,1|1|0,0.83|0.83|0,0.553,0.830,1945
L7-002,L7,lending_borrow,"Unwind my underwater position: 5 ETH collateral, 7,000 USDC borrowed",mistralai/mistral-small-2603,2,1,0|1|1,0|0.78|0.83,0.537,0.780,1741
L8-004,L8,restaking_optimization,"Optimal Re-staking Strategy with Loan Arbitrage You have 100 ETH currently staked via Lido (earning 4.2% APR as stETH). You're considering re-staking strategies to boost yield. In 8 days, you plan to use this position as collateral to borrow 50 ETH at 5.5% APR for a profitable farming opportunity. Analyze these three options: **Option A: EigenLayer AVS Restaking** - Additional APR: 2.8% (from AVS rewards) - Slashing risk: 3% of staked amount (annual probability) - Minimum lock period: 7 days - Current TVL: $8.2B (highly liquid) - Accepts stETH as collateral: Yes **Option B: Symbiotic Protocol Restaking** - Additional APR: 4.1% (from operator fees) - Slashing risk: 5% of staked amount (annual probability) - Minimum lock period: 14 days - Current TVL: $890M (lower liquidity) - Accepts stETH as collateral: Yes **Option C: Maintain Lido stETH Only** - Additional APR: 0% (baseline) - Slashing risk: 0% (no additional risk) - Minimum lock period: 0 days - Liquid staking token (instant liquidity) - Accepts stETH as collateral: Yes **Constraints** 1. Position must be available as collateral within 8 days for the loan (hard requirement) 2. Target minimum net APR after borrowing costs: 1.0% 3. Maximum acceptable slashing risk: 4% of principal **Task** Determine which strategy maximizes net return while satisfying all constraints. Consider the arbitrage spread between staking yield and borrow costs. Respond with JSON including core execution fields plus decision rationale and detailed factors. Schema hint: Provide top-level keys intent, order_type, asset, size, venue, venue_name, rationale, decision_factors along with flattened numeric mirrors (total_staking_apr, borrow_rate, effective_borrow_cost_on_portfolio, net_apr_after_borrow, meets_net_apr_target, slashing_risk_pct, within_risk_tolerance, liquidity_days, meets_collateral_timing, option_c_net_apr_comparison, option_a_outperformance).",mistralai/mistral-medium-3-5,2,1,1|0|1,0.747|0.187|0.84,0.591,0.747,4913
L8-005,L8,risk_adjusted_leverage,"You manage a leveraged ETH yield farming position on Aave with these parameters: Current Position: - Collateral: 10 ETH deposited ($20,000 at $2,000/ETH) - Borrowed: $40,000 USDC, used to purchase 20 additional ETH - Total Exposure: 30 ETH ($60,000) - Effective Leverage: 3× - Liquidation Price: $1,400 (30% drop from current) Yield Structure: - Earning: 8% APY on 30 ETH exposure ($4,800/year) - Paying: 5% APY on $40,000 debt ($2,000/year) - Net Carry: $2,800/year = 4.67% APY on $60k exposure - Weekly Net Carry: $53.85 Market Conditions: - Current ETH Price: $2,000 - 30-day realized volatility: 65% annualized - Expected 7-day volatility (from options): 95% annualized - Weekly volatility: 95% / √52 = 13.17% Liquidation Mechanics: - Aave monitors continuously and liquidates when LTV threshold is breached - Liquidation cost: $1,000 (5% of collateral penalty) - Price model: Geometric Brownian Motion with μ=0 (log drift m = -0.5σ² per period) - EV scope: include carry income minus expected liquidation penalty; exclude mark-to-market P&L (zero drift). Available actions for the next 7 days during a volatility expansion: A) Maintain 3× leverage (liquidation $1,400, weekly carry $53.85) B) Deleverage to 2× leverage (liquidation $1,200, weekly carry $42.31) C) Deleverage to 1.5× leverage (liquidation $1,000, weekly carry $36.54) D) Close position entirely (zero carry, zero risk) Institutional policy: keep weekly liquidation probability ≤0.5%. Assume barrier-hitting probability for liquidation (continuous monitoring). Task: Identify the optimal risk-adjusted action for a 7-day horizon. Provide liquidation probabilities and expected values for each option and explain your reasoning. Optimize for the highest expected value among actions satisfying the weekly liquidation probability limit of 0.5%. Schema hint: Return JSON with keys {action, action_name, liquidation_probabilities, expected_values, reasoning, calculation_method?}. Do not include legacy keys like order_type, asset, venue, risk_controls, follow_up, or requires_follow_up.",mistralai/mistral-small-2603,2,1,1|0|1,1|0.6|1,0.867,1.000,1739
L8-009,L8,cash_and_carry_arbitrage,"ETH perpetual funding rate: +0.08% per 8 hours ETH spot (Coinbase): $2,450 ETH-PERP (Binance): $2,458 You have $100,000 USDC available. Binance ETH-PERP is USDT-margined and requires 1x initial margin (no leverage). Trading fees: 0.02% maker on both venues Network transfer fee: $2 Should you execute a cash-and-carry arbitrage? If yes, provide your decision, reasoning, and execution approach. Respond in JSON format.",mistralai/mistral-medium-3-5,2,1,0|1|1,0.479|1|1,0.826,1.000,3517
L9-003,L9,l9-L9-003,"Swap $2 M USDC→SOL across chains (ETH→SOL). Compare traditional route (USDC→WETH→bridge→SOL; 1.2 % aggregate route cost) vs Across intent-based solver (0.15 % aggregate solver cost). Assume SOL/USD reference price = $185.00 for both routes. Both costs apply to the full input notional, and no extra gas, bridge failure, MEV, slippage, or solver fee is added beyond the quoted percentages. Compute net SOL saved by Across versus the traditional route as USD cost delta converted to SOL.",mistralai/mistral-small-2603,1,0,0|0|1,0|0|1,0.333,0.000,2084
L9-009,L9,l9-L9-009,"Restake 100 stETH across 5 AVSs and pick exactly 3 eligible AVSs by max risk-adjusted return. Net score = headline yield - multiplier × slashing_loss, with all terms in APR percentage points. Eligibility constraints: net score must be at least 6%, slashing multiplier must be ≤3, withdrawal delay must be ≤7 days, and oracle freshness must be ≤30 minutes. Data: A1 yield 8%, slashing 2 × 0.5%, delay 2 days, oracle age 10 minutes; A2 yield 12%, slashing 3 × 1%, delay 7 days, oracle age 25 minutes; A3 yield 6%, slashing 0.5 × 0.2%, delay 1 day, oracle age 5 minutes; A4 yield 15%, slashing 5 × 2%, delay 14 days, oracle age 10 minutes; A5 yield 10%, slashing 2.5 × 0.8%, delay 3 days, oracle age 15 minutes. Return only the unordered set of selected AVS IDs; do not allocate weights across the 100 stETH.",mistralai/mistral-small-2603,1,0,0|0|1,0|0|1,0.333,0.000,1360
L9-025,L9,l9-L9-025,"Flash-loan exploit EV triage, thin liquidation book with high loan fee. A white-hat simulation considers a $8,000,000 USDC flash loan through Uniswap/Aave, with oracle manipulation, liquidations, MEV auction risk, and CEX hedge unwind. Gross liquidation profit if the bundle lands is $620,000. Costs on success: flash loan fee 0.09% of loan, gas $52,000, slippage $76,000, MEV payment $65,000. Success probability is 68%; if it fails or is frontrun, realized loss is flash-loan fee + gas + extra protection cost $60,000 and no liquidation profit. Hard constraints: oracle age <= 45 seconds, liquidation liquidity >= $640,000, and expected EV must be > 0 to execute. Current oracle age 35 seconds and liquidation liquidity $900,000. Compute expected_value as probability-weighted USD EV after all costs; abstain only if EV <= 0 or a hard constraint fails.",mistralai/mistral-medium-3-5,1,0,0|1|0,0|1|0,0.333,0.000,2316
L9-028,L9,l9-L9-028,"Refuse-to-trade decision, basis unwind while bridge queue is congested. Evaluate a $650,000 ETH opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.35%, oracle age <= 45 seconds, settlement <= 10 minutes, and required capital <= $650,000. Option A Across solver hedge: gross edge $9,800, fixed costs $2,100, slippage 0.41% of notional, expected risk 8.0% * $90,000, oracle age 32 seconds, settlement 8 minutes, required capital $640,000; Option B CEX spot sale then bridge repay: gross edge $16,200, fixed costs $4,200, slippage 0.18% of notional, expected risk 4.0% * $360,000, oracle age 40 seconds, settlement 13 minutes, required capital $610,000; Option C Uniswap pool exit: gross edge $7,200, fixed costs $2,500, slippage 0.26% of notional, expected risk 10.0% * $70,000, oracle age 51 seconds, settlement 9 minutes, required capital $620,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",mistralai/mistral-medium-3-5,2,1,1|0|1,1|0|1,0.667,1.000,1742
L9-034,L9,l9-L9-034,"Fee APR annualization, stablecoin fee compression. A Uniswap V3 stable pool USDC/RWA-T pool/hook strategy has $20,000,000 active liquidity, $42,000,000 daily volume, and 48% of volume eligible for the incremental fee. Incremental fee is 0.012%; LP capture is 92%, protocol skim is 12%, and keeper/gas/solver overhead is $1,100 per day. Compare the incremental design vs vanilla Uniswap/Pendle base fees, but expected_value must be only the incremental simple APR percentage: ((daily volume * eligible share * incremental fee * capture * (1 - skim) - daily fixed overhead) * 365) / active liquidity. Check whether incremental APR is positive after a 20% daily-volume stress and oracle age <= 30 minutes; expected_value remains the base-case incremental APR. Exclude compounding, LP-token price drift, base pool fees, and rewards.",mistralai/mistral-medium-3-5,1,0,1|0|0,1|0|0,0.333,0.000,1539
L9-036,L9,l9-L9-036,"Refuse-to-trade decision, cross-chain collateral seizure after price gap. Evaluate a $1,800,000 BTC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.25%, oracle age <= 50 seconds, settlement <= 15 minutes, and required capital <= $1,800,000. Option A CEX hedge then bridge: gross edge $34,000, fixed costs $9,000, slippage 0.18% of notional, expected risk 6.0% * $420,000, oracle age 42 seconds, settlement 18 minutes, required capital $1,700,000; Option B Uniswap WBTC route: gross edge $22,500, fixed costs $7,100, slippage 0.31% of notional, expected risk 4.0% * $260,000, oracle age 39 seconds, settlement 12 minutes, required capital $1,600,000; Option C solver auction fill: gross edge $28,000, fixed costs $11,800, slippage 0.14% of notional, expected risk 8.0% * $310,000, oracle age 61 seconds, settlement 13 minutes, required capital $1,750,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",mistralai/mistral-medium-3-5,1,0,0|0|1,0|0|1,0.333,0.000,4911
L9-058,L9,l9-L9-058,"Fee APR annualization, blue-chip liquidation fee stream. A Compound liquidation auction pool BTC/USDC pool/hook strategy has $26,000,000 active liquidity, $38,000,000 daily volume, and 44% of volume eligible for the incremental fee. Incremental fee is 0.028%; LP capture is 82%, protocol skim is 10%, and keeper/gas/solver overhead is $2,100 per day. Compare the incremental design vs vanilla Uniswap/Pendle base fees, but expected_value must be only the incremental simple APR percentage: ((daily volume * eligible share * incremental fee * capture * (1 - skim) - daily fixed overhead) * 365) / active liquidity. Check whether incremental APR is positive after a 20% daily-volume stress and oracle age <= 30 minutes; expected_value remains the base-case incremental APR. Exclude compounding, LP-token price drift, base pool fees, and rewards.",mistralai/mistral-medium-3-5,2,1,1|0|1,1|0|1,0.667,1.000,1318
L9-058,L9,l9-L9-058,"Fee APR annualization, blue-chip liquidation fee stream. A Compound liquidation auction pool BTC/USDC pool/hook strategy has $26,000,000 active liquidity, $38,000,000 daily volume, and 44% of volume eligible for the incremental fee. Incremental fee is 0.028%; LP capture is 82%, protocol skim is 10%, and keeper/gas/solver overhead is $2,100 per day. Compare the incremental design vs vanilla Uniswap/Pendle base fees, but expected_value must be only the incremental simple APR percentage: ((daily volume * eligible share * incremental fee * capture * (1 - skim) - daily fixed overhead) * 365) / active liquidity. Check whether incremental APR is positive after a 20% daily-volume stress and oracle age <= 30 minutes; expected_value remains the base-case incremental APR. Exclude compounding, LP-token price drift, base pool fees, and rewards.",mistralai/mistral-small-2603,1,0,0|0|1,0|0|1,0.333,0.000,1629
L9-078,L9,l9-L9-078,"Cross-chain route cost selection, Avalanche route where direct bridge misses the time cap. Swap $1,250,000 USDC into AVAX from Arbitrum to Avalanche; reference AVAX price is $42. Compare four Uniswap/Across/solver/bridge/CEX style routes and select the feasible route with lowest all-in USD cost before converting to output tokens. Hard constraints: settlement <= 15 minutes, oracle age <= 45 seconds, capacity >= notional, and slippage+risk must be included. Route A DEX hop bridge route: percent cost 0.58%, fixed $900, expected risk 0.02% of notional, settlement 14 minutes, oracle age 39 seconds, capacity $2,000,000; Route B solver inventory route: percent cost 0.33%, fixed $1,900, expected risk 0.03% of notional, settlement 8 minutes, oracle age 28 seconds, capacity $1,500,000; Route C CEX withdrawal hedge: percent cost 0.22%, fixed $4,200, expected risk 0.06% of notional, settlement 13 minutes, oracle age 31 seconds, capacity $1,300,000; Route D direct bridge route: percent cost 0.19%, fixed $1,300, expected risk 0.15% of notional, settlement 18 minutes, oracle age 34 seconds, capacity $1,600,000. Compute each route cost = percent cost*notional + fixed + expected risk*notional. expected_value is USD saved by the best feasible route versus the second-best feasible route; also mention resulting extra AVAX = USD_saved / price.",mistralai/mistral-small-2603,1,0,1|0|0,1|0|0,0.333,0.000,2060
