=== TOP20 NO OPENAI PRO N3 START Sun Jun 14 21:20:29 PDT 2026 ===
models_file=models.tradebench-top20-no-openai-pro.yaml base_dir=results/top20-no-openai-pro-n3 concurrency=30 max_retries=2 timeout_ms=600000
=== n1: start Sun Jun 14 21:20:29 PDT 2026 ===
=== n1: filling missing=5959 Sun Jun 14 21:20:29 PDT 2026 ===
(node:46293) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
Models: 20
Questions: 300
Results dir: /Users/bradleymiles/Documents/tradebench-questions-and-evaluation/results/top20-no-openai-pro-n3/run1
Concurrency: 30
Phases: generate, score
Generation: 5959 pending of 6000 total tasks
[gen 1/5959] ok qwen/qwen3.7-plus L9-018
[gen 2/5959] ok qwen/qwen3.7-plus L9-009
[gen 3/5959] ok qwen/qwen3.7-plus L9-017
[gen 4/5959] ok qwen/qwen3.7-plus L9-028
[gen 5/5959] ok qwen/qwen3.7-plus L9-005
[gen 6/5959] ok qwen/qwen3.7-plus L9-026
[gen 7/5959] ok qwen/qwen3.7-plus L9-010
[gen 8/5959] ok qwen/qwen3.7-plus L9-025
[gen 9/5959] ok qwen/qwen3.7-plus L9-030
[gen 10/5959] ok qwen/qwen3.7-plus L9-020
[gen 11/5959] ok qwen/qwen3.7-plus L9-022
[gen 12/5959] ok qwen/qwen3.7-plus L9-008
[gen 13/5959] ok qwen/qwen3.7-plus L9-012
[gen 14/5959] ok qwen/qwen3.7-plus L9-024
[gen 15/5959] ok qwen/qwen3.7-plus L9-014
[gen 16/5959] ok qwen/qwen3.7-plus L9-016
[gen 17/5959] ok qwen/qwen3.7-plus L9-023
[gen 18/5959] ok qwen/qwen3.7-plus L9-006
[gen 19/5959] ok qwen/qwen3.7-plus L9-015
[gen 20/5959] ok qwen/qwen3.7-plus L9-031
[gen 21/5959] ok qwen/qwen3.7-plus L9-027
[gen 22/5959] ok qwen/qwen3.7-plus L8-009
[gen 23/5959] ok qwen/qwen3.7-plus L9-034
[gen 24/5959] ok qwen/qwen3.7-plus L9-032
[gen 25/5959] ok qwen/qwen3.7-plus L9-013
[gen 26/5959] ok qwen/qwen3.7-plus L9-033
[gen 27/5959] ok qwen/qwen3.7-plus L9-042
[gen 28/5959] ok qwen/qwen3.7-plus L9-040
[gen 29/5959] ok qwen/qwen3.7-plus L9-029
[gen 30/5959] ok qwen/qwen3.7-plus L9-038
[gen 31/5959] ok qwen/qwen3.7-plus L9-011
[gen 32/5959] ok qwen/qwen3.7-plus L9-019
[gen 33/5959] ok qwen/qwen3.7-plus L9-050
[gen 34/5959] ok qwen/qwen3.7-plus L9-046
[gen 35/5959] ok qwen/qwen3.7-plus L9-021
[gen 36/5959] ok qwen/qwen3.7-plus L9-036
[gen 37/5959] ok qwen/qwen3.7-plus L9-048
[gen 38/5959] ok qwen/qwen3.7-plus L9-047
[gen 39/5959] ok qwen/qwen3.7-plus L9-041
[gen 40/5959] ok qwen/qwen3.7-plus L9-039
[gen 41/5959] ok qwen/qwen3.7-plus L9-035
[gen 42/5959] ok qwen/qwen3.7-plus L9-054
[gen 43/5959] ok qwen/qwen3.7-plus L9-056
[gen 44/5959] ok qwen/qwen3.7-plus L9-058
[gen 45/5959] ok qwen/qwen3.7-plus L9-052
[gen 46/5959] ok qwen/qwen3.7-plus L9-051
[gen 47/5959] ok qwen/qwen3.7-plus L9-044
[gen 48/5959] ok qwen/qwen3.7-plus L9-057
[gen 49/5959] ok qwen/qwen3.7-plus L9-055
[gen 50/5959] ok qwen/qwen3.7-plus L9-043
[gen 51/5959] ok qwen/qwen3.7-plus L9-065
[gen 52/5959] ok qwen/qwen3.7-plus L8-008
[gen 53/5959] ok qwen/qwen3.7-plus L9-068
[gen 54/5959] ok qwen/qwen3.7-plus L9-063
[gen 55/5959] ok qwen/qwen3.7-plus L9-071
[gen 56/5959] ok qwen/qwen3.7-plus L9-064
[gen 57/5959] ok qwen/qwen3.7-plus L9-066
[gen 58/5959] ok qwen/qwen3.7-plus L9-060
[gen 59/5959] ok qwen/qwen3.7-plus L9-070
[gen 60/5959] ok qwen/qwen3.7-plus L9-074
[gen 61/5959] ok qwen/qwen3.7-plus L9-062
[gen 62/5959] ok qwen/qwen3.7-plus L9-072
[gen 63/5959] ok qwen/qwen3.7-plus L9-067
[gen 64/5959] ok qwen/qwen3.7-plus L9-053
[gen 65/5959] ok qwen/qwen3.7-plus L9-049
[gen 66/5959] ok qwen/qwen3.7-plus L10-002
[gen 67/5959] ok qwen/qwen3.7-plus L9-081
[gen 68/5959] ok qwen/qwen3.7-plus L9-078
[gen 69/5959] ok qwen/qwen3.7-plus L9-075
[gen 70/5959] ok qwen/qwen3.7-plus L9-059
[gen 71/5959] ok qwen/qwen3.7-plus L9-076
[gen 72/5959] ok qwen/qwen3.7-plus L9-080
[gen 73/5959] ok qwen/qwen3.7-plus L9-037
[gen 74/5959] ok qwen/qwen3.7-plus L10-004
[gen 75/5959] ok qwen/qwen3.7-plus L9-069
[gen 76/5959] ok qwen/qwen3.7-plus L10-005
[gen 77/5959] ok qwen/qwen3.7-plus L9-077
[gen 78/5959] ok qwen/qwen3.7-plus L9-061
