=== CONTINUATION N2-ONLY SWEEP START Wed Jun 10 00:38:31 PDT 2026 ===
=== START n1 L9 initial Wed Jun 10 00:38:31 PDT 2026 ===
Models: 60
Questions: 81
Results dir: /Users/bradleymiles/Documents/tradebench-questions-and-evaluation/results/parallel-level9-working
Concurrency: 10
Phases: generate, score
Generation: 3113 pending of 4860 total tasks
[gen 1/3113] failed openai/gpt-5.5-pro L9-053 error=blank response
[gen 2/3113] failed openai/gpt-5.5-pro L9-013 error=blank response
[gen 3/3113] failed openai/gpt-5.5-pro L9-061 error=blank response
[gen 4/3113] failed openai/gpt-5.5-pro L9-077 error=blank response
[gen 5/3113] failed openai/gpt-5.5-pro L9-037 error=blank response
[gen 6/3113] failed openai/gpt-5.5-pro L9-021 error=blank response
[gen 7/3113] failed anthropic/claude-fable-5 L9-005 error=blank response
[gen 8/3113] failed anthropic/claude-fable-5 L9-010 error=blank response
[gen 9/3113] failed anthropic/claude-fable-5 L9-017 error=blank response
[gen 10/3113] failed openai/gpt-5.5-pro L9-029 error=blank response
[gen 11/3113] failed anthropic/claude-fable-5 L9-025 error=blank response
[gen 12/3113] failed anthropic/claude-fable-5 L9-033 error=blank response
[gen 13/3113] failed anthropic/claude-fable-5 L9-041 error=blank response
[gen 14/3113] failed anthropic/claude-fable-5 L9-049 error=blank response
