ID,tier_tagged,tier_observed,tier_variance,answer_key_verdict,primary_domain,capability_tag,scenario_family,feasibility_trap,notes
SB-L4-001,L4,L4,0,VERIFIED,Shorting / borrow / margin / locates,judgment_risk_augmentation,borrow_cost_calendar,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-001,L9,L9,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_beta_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-AGI-001,AGI,AGI,0,VERIFIED,Feasibility / rejection / no-trade traps,execution_action_quality,borrow_recall_margin_hedge,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L1-001,L1,L1,0,VERIFIED,Spot equities / ETFs,execution_action_quality,equity_order_ticket,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L2-001,L2,L2,0,VERIFIED,Futures / commodities / spreads / rolls,judgment_risk_augmentation,futures_notional_math,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L3-001,L3,L3,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,fx_pnl_conversion,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L5-001,L5,L5,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,session_limit_order_ticket,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L6-001,L6,L6,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,t_plus_one_settlement_sequence,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L7-001,L7,L7,0,VERIFIED,Portfolio risk / rebalancing,judgment_risk_augmentation,beta_dollar_rebalance,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L8-001,L8,L8,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,covered_call_assignment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-002,L9,L9,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,short_locate_failure,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-003,L9,L9,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,put_spread_downside_floor,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-004,L9,L9,0,VERIFIED,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,fx_settlement_mismatch,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-005,L9,L9,0,VERIFIED,Portfolio risk / rebalancing,judgment_risk_augmentation,cross_asset_beta_trim,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-006,L9,L9,0,VERIFIED,Execution / liquidity / microstructure,execution_action_quality,order_book_liquidity_limit,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L9-007,L9,L9,0,VERIFIED,Corporate actions / settlement / calendar / jurisdiction,judgment_risk_augmentation,ex_dividend_adjustment,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-001,L10,L10,0,VERIFIED,Listed options strategy / Greeks,execution_action_quality,collar_plus_futures_overlay,false,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-002,L10,L10,0,VERIFIED,Futures / commodities / spreads / rolls,execution_action_quality,futures_roll_calendar,true,canonical local grade pass; metadata complete; packet assumptions present
SB-L10-003,L10,L10,0,VERIFIED,Shorting / borrow / margin / locates,execution_action_quality,hard_to_borrow_margin_recall,true,canonical local grade pass; metadata complete; packet assumptions present
