CAPABILITY PROBE: 53 questions × 16 samples at temp 0.7
Model: local-qwen36-27b-base (BASE)
Concurrency: 4
Output: results/community/300/capability-probe-2026-07-02

Starting probe of 53 questions...
[1/53] L4-001: 16 samples collected
[2/53] L3-001: 16 samples collected
[3/53] L3-003: 16 samples collected
[4/53] L6-003: 16 samples collected
[5/53] L9-007: 16 samples collected
[6/53] L8-001: 16 samples collected
[7/53] L9-006: 16 samples collected
[8/53] L9-024: 16 samples collected
[9/53] L9-027: 16 samples collected
[10/53] L9-059: 16 samples collected
[11/53] L9-040: 16 samples collected
[12/53] L10-047: 16 samples collected
[13/53] L9-064: 16 samples collected
[14/53] L10-050: 16 samples collected
[15/53] AGI-024: 16 samples collected
[16/53] L10-055: 16 samples collected
[17/53] L10-056: 16 samples collected
[18/53] AGI-026: 16 samples collected
[19/53] L2-004: 16 samples collected
[20/53] AGI-085: 16 samples collected
[21/53] L3-002: 16 samples collected
[22/53] AGI-108: 16 samples collected
[23/53] L4-005: 16 samples collected
[24/53] L4-003: 16 samples collected
[25/53] L5-001: 16 samples collected
[26/53] L5-002: 16 samples collected
[27/53] L6-001: 16 samples collected
[28/53] L7-001: 16 samples collected
[29/53] L5-003: 16 samples collected
[30/53] L7-002: 16 samples collected
[31/53] L7-003: 16 samples collected
[32/53] L9-013: 16 samples collected
[33/53] L9-005: 16 samples collected
[34/53] L9-019: 16 samples collected
[35/53] L9-029: 16 samples collected
[36/53] L9-031: 16 samples collected
[37/53] L9-035: 16 samples collected
[38/53] L9-037: 16 samples collected
[39/53] L9-045: 16 samples collected
[40/53] L9-051: 16 samples collected
[41/53] L9-053: 16 samples collected
[42/53] L9-055: 16 samples collected
[43/53] L10-004: 16 samples collected
[44/53] L10-006: 16 samples collected
[45/53] L10-014: 16 samples collected
[46/53] L10-011: 16 samples collected
[47/53] L10-025: 16 samples collected
[48/53] L10-017: 16 samples collected
[49/53] L10-024: 16 samples collected
[50/53] L10-022: 16 samples collected
[51/53] L10-015: 16 samples collected
[52/53] L10-043: 16 samples collected
[53/53] L10-046: 16 samples collected

PROBE COMPLETE: 53/53 questions × 16 samples
Results: results/community/300/capability-probe-2026-07-02/probe-results.jsonl

Next: Grade with grade-runpod-run.ts to see how many pass at temp 0.7
