question_id,tier,basic_proximity,best_score,closest_model,codex_analysis
L5-001,L5,close_or_artifact,0.718,anthropic/claude-sonnet-4.6,"Models were very close and often used materially correct Uniswap V3 concentrated-liquidity language, but the rubric/synonyms and 0.72 threshold reject near-correct range-LP answers. This is not a clean model-capability failure."
L5-002,L5,close_or_artifact,0.000,qwen/qwen3.7-plus,"The prompt asks for a 3x Aave leverage loop, but the custom validator rejects common valid labels like loop/leverage_long even when reasoning describes deposit-borrow-swap. This is too narrow."
L7-001,L7,close_or_artifact,0.000,qwen/qwen3.7-plus,"The prompt sounds like a concrete analysis task, while the rubric expects a generic meta-answer and auto-fails concrete assets/sizes. Models reasonably instantiated examples."
L9-043,L9,close_or_artifact,0.000,qwen/qwen3.7-plus,"The prompt says bribes cost $0 per ARB vote, but the canonical subtracts $52,250 of bribe cost. Several models computed the prompt-consistent EV, so this row is unfair as written."
AGI-003,AGI,way_off,0.429,moonshotai/kimi-k2.5,"The Funding Rate Trap shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-005,AGI,close,0.625,qwen/qwen3.7-plus,"The Bridge Risk Matrix has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-007,AGI,close,0.625,meta-llama/llama-4-scout,"The Protocol Economics Puzzle has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-008,AGI,way_off,0.556,openai/gpt-5.2-codex,"The Regulatory Risk Cascade shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-009,AGI,way_off,0.400,qwen/qwen3.7-plus,"The Optimal Path Finder shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-010,AGI,way_off,0.455,meta-llama/llama-3.3-70b-instruct,"The Market Maker Game Theory shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-011,AGI,close,0.600,qwen/qwen3.6-35b-a3b,"The Flash Loan Attack Predictor has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-012,AGI,way_off,0.167,qwen/qwen3.7-max,The Correlation Regime Arbitrage has essentially no close model answer. This is either genuinely beyond current models or the answer key requires a hidden/over-specific canonical strategy.
AGI-021,AGI,way_off,0.429,qwen/qwen3.7-plus,"OOD Beta Hedge: 2008 Credit Shock shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-022,AGI,way_off,0.429,qwen/qwen3.7-plus,"OOD Beta Hedge: March 2020 Liquidation shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-023,AGI,way_off,0.429,qwen/qwen3.7-plus,"OOD Beta Hedge: Yen Unwind Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-027,AGI,way_off,0.286,qwen/qwen3.6-max-preview,Basis Cascade Window Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-028,AGI,way_off,0.429,z-ai/glm-5-turbo,"Short Squeeze Window Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-029,AGI,way_off,0.286,qwen/qwen3.7-plus,Funding Credit Trap Rebuild appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-032,AGI,way_off,0.500,qwen/qwen3.6-27b,"Lending Market Holdout Rebuild shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-033,AGI,close,0.625,qwen/qwen3.7-plus,"Insurance Bridge Matrix Rebuild has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
