scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,66,3,66,0.909091
model,deepseek/deepseek-v4-pro,69,0,69,0.497101
model,google/gemini-3.5-flash,69,0,69,0.837681
model,inception/mercury-2,38,31,38,0.894737
model,inclusionai/ling-2.6-flash,69,0,69,0.226087
model,kwaipilot/kat-coder-pro-v2,69,0,69,0.423188
model,minimax/minimax-m2,69,0,69,0.407246
model,minimax/minimax-m2.1,69,0,69,0.405797
model,minimax/minimax-m2.5,69,0,69,0.426087
model,minimax/minimax-m2.7,67,2,67,0.529851
model,minimax/minimax-m3,53,16,53,0.767925
model,openai/gpt-5.2-codex,68,1,68,0.058824
model,openai/gpt-5.3-codex,68,1,68,0.867647
model,openai/gpt-5.4-pro,63,6,63,0.920635
model,openai/gpt-5.5,68,1,68,0.808824
model,openai/gpt-5.5-pro,55,14,55,0.890909
model,prime-intellect/intellect-3,48,21,48,0.779167
model,qwen/qwen3.5-122b-a10b,56,13,56,0.758929
model,qwen/qwen3.5-27b,67,2,67,0.722388
model,qwen/qwen3.5-plus-20260420,69,0,69,0.840580
model,qwen/qwen3.6-flash,69,0,69,0.865217
model,qwen/qwen3.6-max-preview,69,0,69,0.898551
model,qwen/qwen3.7-max,69,0,69,0.885507
model,qwen/qwen3.7-plus,68,1,68,0.911765
model,xiaomi/mimo-v2.5-pro,69,0,69,0.288406
family,claude,66,3,66,0.909091
family,deepseek,69,0,69,0.497101
family,google,69,0,69,0.837681
family,inception,38,31,38,0.894737
family,inclusionai,69,0,69,0.226087
family,kwaipilot,69,0,69,0.423188
family,minimax,327,18,327,0.494495
family,openai,322,23,322,0.698758
family,prime-intellect,48,21,48,0.779167
family,qwen,467,16,467,0.843041
family,xiaomi,69,0,69,0.288406
