question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms
L1-001,1,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.756,3285,1,0.869,5369,1,0.869,1904,0,0.419,4218,1,0.869,1650
L1-002,1,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.935,3282,1,1.000,4698,1,0.904,4666,1,0.940,1881,1,0.897,1881
L1-003,1,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.775,3028,1,0.875,3035,1,1.000,5333,0,0.637,1898,0,0.589,1844
L2-001,2,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.730,3221,0,0.690,3000,0,0.690,3257,1,0.850,3974,0,0.690,2651
L2-002,2,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.855,3248,1,0.926,1027,1,0.776,5501,1,0.926,4765,1,0.792,1700
L2-003,2,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.838,4572,1,0.976,4056,1,0.920,5756,1,0.821,6546,0,0.635,1930
L2-004,2,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.621,3000,0,0.672,3140,0,0.605,2604,0,0.605,4357,0,0.605,1900
L3-001,3,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.584,5763,0,0.663,11560,0,0.443,6072,1,0.866,2603,0,0.364,2817
L3-002,3,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.568,3858,0,0.550,5087,0,0.529,3809,0,0.649,4704,0,0.545,1832
L3-003,3,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.783,6536,1,0.795,11222,1,0.814,6980,1,0.963,5632,0,0.559,2308
L4-001,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.195,4045,1,0.780,7735,0,0.000,3084,0,0.000,2592,0,0.000,2768
L4-002,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.176,4393,1,0.704,3713,0,0.000,3426,0,0.000,7534,0,0.000,2897
L4-003,4,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.411,8238,0,0.418,23226,0,0.399,3584,0,0.279,2171,0,0.546,3969
L4-004,4,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.230,5440,0,0.000,13547,1,0.920,4194,0,0.000,3554,0,0.000,463
