rank,family,model,pass,pass_rate,answered_fail,model_fail,missing,rubric_credit_sum,top_error_count,top_error
1,qwen,qwen/qwen3.7-plus,175,58.3%,117,8,0,208.013,7,The user aborted a request.
2,qwen,qwen/qwen3.6-max-preview,173,57.7%,126,1,0,207.738,1,The user aborted a request.
3,qwen,qwen/qwen3.7-max,169,56.3%,130,1,0,205.279,1,The user aborted a request.
4,qwen,qwen/qwen3.5-plus-20260420,165,55.0%,135,0,0,199.638,0,
5,qwen,qwen/qwen3.6-flash,165,55.0%,135,0,0,198.770,0,
6,openai,openai/gpt-5.3-codex,157,52.3%,140,3,0,186.241,3,blank response
7,openai,openai/gpt-5.5,156,52.0%,136,8,0,185.104,7,blank response
8,claude,anthropic/claude-fable-5,154,51.3%,133,13,0,185.025,13,blank response
9,grok,x-ai/grok-build-0.1,153,51.0%,147,0,0,185.182,0,
10,qwen,qwen/qwen3.5-27b,151,50.3%,147,2,0,180.450,2,blank response
11,openai,openai/gpt-5.4-pro,146,48.7%,44,110,0,150.525,108,blank response
12,google,google/gemini-3.1-pro-preview,137,45.7%,163,0,0,149.523,0,
13,qwen,qwen/qwen3.5-122b-a10b,132,44.0%,148,20,0,160.512,12,The user aborted a request.
14,openai,openai/gpt-5.5-pro,131,43.7%,56,113,0,139.764,111,blank response
15,google,google/gemini-3.5-flash,130,43.3%,170,0,0,146.854,0,
16,minimax,minimax/minimax-m3,127,42.3%,100,73,0,144.711,73,blank response
17,inception,inception/mercury-2,120,40.0%,102,78,0,147.866,78,blank response
18,prime-intellect,prime-intellect/intellect-3,114,38.0%,127,59,0,145.162,59,blank response
19,grok,x-ai/grok-4.3,112,37.3%,188,0,0,120.698,0,
20,inclusionai,inclusionai/ring-2.6-1t,109,36.3%,112,79,0,123.292,79,blank response
21,minimax,minimax/minimax-m2.7,107,35.7%,183,10,0,136.220,9,blank response
22,deepseek,deepseek/deepseek-v4-pro,103,34.3%,190,7,0,136.578,7,blank response
23,minimax,minimax/minimax-m2.5,103,34.3%,196,1,0,138.558,1,blank response
24,qwen,qwen/qwen3.5-397b-a17b,100,33.3%,142,58,0,126.475,50,blank response
25,claude,anthropic/claude-sonnet-4.6,98,32.7%,202,0,0,135.164,0,
26,minimax,minimax/minimax-m2,96,32.0%,204,0,0,137.092,0,
27,claude,anthropic/claude-opus-4.8,92,30.7%,208,0,0,129.374,0,
28,google,google/gemma-4-26b-a4b-it,84,28.0%,216,0,0,119.592,0,
29,google,google/gemini-3.1-flash-lite,82,27.3%,218,0,0,115.443,0,
30,claude,anthropic/claude-opus-4.7,81,27.0%,219,0,0,123.565,0,
31,minimax,minimax/minimax-m2.1,81,27.0%,217,2,0,116.643,2,blank response
32,deepseek,deepseek/deepseek-v4-flash,80,26.7%,220,0,0,115.081,0,
33,claude,anthropic/claude-sonnet-4.5,79,26.3%,221,0,0,120.636,0,
34,kwaipilot,kwaipilot/kat-coder-pro-v2,78,26.0%,222,0,0,113.259,0,
35,arcee-ai,arcee-ai/trinity-mini,76,25.3%,187,37,0,108.628,37,blank response
36,qwen,qwen/qwen3.5-flash-02-23,73,24.3%,89,138,0,80.222,87,Connection error.
37,qwen,qwen/qwen3-max-thinking,71,23.7%,229,0,0,102.544,0,
38,xiaomi,xiaomi/mimo-v2.5,67,22.3%,233,0,0,95.304,0,
39,inclusionai,inclusionai/ling-2.6-1t,64,21.3%,209,27,0,96.189,27,429 Rate limit exceeded: limit_rpm/inclusionai/ling-2.6-1t-20260423/f7473932-ad0e-43dc-9e59-894d6e879f76. High demand for inclusionai/ling-2.6-1t on OpenRouter - limited to 50 requests per minute. Please retry shortly.
40,xiaomi,xiaomi/mimo-v2.5-pro,64,21.3%,236,0,0,95.587,0,
41,moonshot,moonshotai/kimi-k2.5,62,20.7%,49,189,0,75.619,123,transport/truncated response
42,xiaomi,xiaomi/mimo-v2-flash,56,18.7%,244,0,0,86.306,0,
43,claude,anthropic/claude-haiku-4.5,52,17.3%,248,0,0,81.207,0,
44,deepseek,deepseek/deepseek-chat-v3.1,49,16.3%,251,0,0,76.031,0,
45,inclusionai,inclusionai/ling-2.6-flash,48,16.0%,252,0,0,87.034,0,
46,grok,x-ai/grok-4.20,46,15.3%,254,0,0,69.126,0,
47,ibm-granite,ibm-granite/granite-4.1-8b,41,13.7%,259,0,0,69.757,0,
48,deepcogito,deepcogito/cogito-v2.1-671b,39,13.0%,261,0,0,63.235,0,
49,deepseek,deepseek/deepseek-v3.2-exp,39,13.0%,261,0,0,62.314,0,
50,liquid,liquid/lfm-2-24b-a2b,39,13.0%,261,0,0,68.706,0,
51,openai,openai/gpt-5.2-codex,38,12.7%,260,2,0,43.285,2,blank response
52,deepseek,deepseek/deepseek-v3.2,33,11.0%,267,0,0,57.193,0,
53,moonshot,moonshotai/kimi-k2.6,27,9.0%,42,231,0,34.800,192,transport/truncated response
