id,derivable,unique,recomputed_ok,issue,fix
SB-AGI-001,VERIFIED,UNIQUE,true,"",""
SB-AGI-002,VERIFIED,UNIQUE,true,"",""
SB-AGI-003,VERIFIED,UNIQUE,true,"",""
SB-AGI-004,VERIFIED,UNIQUE,true,"",""
SB-AGI-005,VERIFIED,UNIQUE,true,"",""
SB-AGI-006,VERIFIED,UNIQUE,true,"",""
SB-AGI-007,VERIFIED,UNIQUE,true,"",""
SB-AGI-008,VERIFIED,UNIQUE,true,"",""
SB-AGI-009,VERIFIED,UNIQUE,true,"",""
SB-AGI-010,VERIFIED,UNIQUE,true,"",""
SB-AGI-011,VERIFIED,UNIQUE,true,"",""
SB-AGI-012,VERIFIED,UNIQUE,true,"",""
SB-AGI-013,VERIFIED,UNIQUE,true,"",""
SB-AGI-014,VERIFIED,UNIQUE,true,"",""
SB-AGI-015,VERIFIED,UNIQUE,true,"",""
SB-AGI-016,VERIFIED,UNIQUE,true,"",""
SB-AGI-017,VERIFIED,UNIQUE,true,"",""
SB-AGI-018,VERIFIED,UNIQUE,true,"",""
SB-AGI-019,VERIFIED,UNIQUE,true,"",""
SB-AGI-020,VERIFIED,UNIQUE,true,"",""
SB-AGI-021,VERIFIED,UNIQUE,true,"",""
SB-AGI-022,VERIFIED,UNIQUE,true,"",""
SB-AGI-023,VERIFIED,UNIQUE,true,"",""
SB-AGI-024,VERIFIED,UNIQUE,true,"",""
SB-AGI-025,VERIFIED,UNIQUE,true,"",""
SB-AGI-026,VERIFIED,UNIQUE,true,"",""
SB-AGI-027,VERIFIED,UNIQUE,true,"",""
SB-AGI-028,VERIFIED,UNIQUE,true,"",""
SB-AGI-029,VERIFIED,UNIQUE,true,"",""
SB-AGI-030,VERIFIED,UNIQUE,true,"",""
SB-AGI-031,VERIFIED,UNIQUE,true,"",""
SB-AGI-032,VERIFIED,UNIQUE,true,"",""
SB-AGI-033,VERIFIED,UNIQUE,true,"",""
SB-AGI-034,VERIFIED,UNIQUE,true,"",""
SB-AGI-035,VERIFIED,UNIQUE,true,"",""
SB-AGI-036,VERIFIED,UNIQUE,true,"",""
SB-AGI-037,VERIFIED,UNIQUE,true,"",""
SB-AGI-038,VERIFIED,UNIQUE,true,"",""
SB-AGI-039,VERIFIED,UNIQUE,true,"",""
SB-AGI-040,VERIFIED,UNIQUE,true,"",""
SB-AGI-041,VERIFIED,UNIQUE,true,"",""
SB-AGI-042,VERIFIED,UNIQUE,true,"",""
SB-AGI-043,VERIFIED,UNIQUE,true,"",""
SB-AGI-044,VERIFIED,UNIQUE,true,"",""
SB-AGI-045,VERIFIED,UNIQUE,true,"",""
SB-AGI-046,VERIFIED,UNIQUE,true,"",""
SB-AGI-047,VERIFIED,UNIQUE,true,"",""
SB-AGI-048,VERIFIED,UNIQUE,true,"",""
SB-AGI-049,VERIFIED,UNIQUE,true,"",""
SB-AGI-050,VERIFIED,UNIQUE,true,"",""
SB-AGI-051,VERIFIED,UNIQUE,true,"",""
SB-AGI-052,VERIFIED,UNIQUE,true,"",""
