question_id,model,pass,score,confidence,pass_models_for_question,pass_count_for_question,failure_reasons,raw_excerpt
AGI-015,meta-llama/llama-4-maverick,0,0.923,0.99,,0,agi_validation_failed:intent|agi_validation_failed:effective_price,"{""intent"": ""swap"", ""order_type"": ""complex"", ""asset"": ""ETH"", ""size"": ""2000000"", ""unit"": ""USDC"", ""venue"": ""multi-venue"", ""venue_name"": ""various"", ""risk_controls"": {""slippage_tolerance"": ""0.5%""}, ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocation_usd"": {""Velodrome_Optimism"": ""400000"", ""Uniswap_Arbitrum"": ""400000"", ""Curve_ETH"": ""400000"", ""Kraken"": ""500000"", ""Binance"": ""300000""}, ""expected_eth_received"": ""665.11"", ""effective_price"": ""3006.91"", ""reasoning"": ""Allocated to multiple venues to minimize cost and avoid repricing: Velodrome Optimism ($400k), Uniswap Arbitrum ($400k), Curve ETH ($400k), Kraken ($500k), and Binance ($300k).""}"
AGI-015,meta-llama/llama-4-scout,0,0.885,0.96,,0,agi_validation_failed:intent|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:effective_price,"{ ""intent"": ""buy"", ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocation_usd"": { ""Velodrome_Optimism"": 400000, ""Uniswap_Arbitrum"": 400000, ""Kraken"": 500000, ""Curve_ETH"": 400000, ""Binance"": 600000 }, ""expected_eth_received"": 665.56, ""effective_price"": 3003.91, ""reasoning"": ""Allocated to venues with sufficient capacity and lowest cost, prioritizing Kraken and Binance for their taker fees and capacity, supplemented by DEX venues."" }"
AGI-006,meta-llama/llama-3.3-70b-instruct,0,0.824,0.77,,0,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price,"```json { ""intent"": ""buy"", ""order_type"": ""algorithmic"", ""asset"": ""BTC"", ""size"": 500, ""venue"": ""exchange"", ""risk_controls"": { ""slippage_tolerance"": ""1%"" }, ""chosen_strategy"": ""reactive_iceberg_limits"", ""price_band"": ""$58,520-$58,560"", ""child_order_btc"": 40, ""repricing_interval_sec"": 45, ""expected_avg_price"": 58540, ""reasoning"": ""minimize adverse selection with hidden iceberg orders and adaptive repricing"" } ```"
AGI-006,meta-llama/llama-4-scout,0,0.824,0.96,,0,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price,"{ ""intent"": ""buy"", ""chosen_strategy"": ""reactive_iceberg_limits"", ""price_band"": ""$58,520-$58,580"", ""child_order_btc"": 40, ""repricing_interval_sec"": 45, ""expected_avg_price"": 58540, ""reasoning"": ""To minimize adverse selection from the toxicity classifier, we choose reactive iceberg limits with child orders of 40 BTC, repricing every 45 seconds to adapt to market dynamics and avoid detection of larger orders."" }"
AGI-006,meta-llama/llama-4-maverick,0,0.765,0.96,,0,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:child_order_btc|agi_validation_failed:expected_avg_price,"{""intent"": ""buy"", ""order_type"": ""reactive_iceberg_limits"", ""asset"": ""BTC"", ""size"": 500, ""unit"": ""btc"", ""venue"": ""exchange"", ""risk_controls"": {""slippage_tolerance"": 0.005}, ""chosen_strategy"": ""reactive_iceberg_limits"", ""price_band"": ""$58,530 - $58,560"", ""child_order_btc"": 20, ""repricing_interval_sec"": 45, ""expected_avg_price"": ""$58,542"", ""reasoning"": ""Using iceberg orders to avoid detection, repricing every 45 seconds to stay competitive, and staying within a tight price band to minimize slippage.""}"
AGI-004,meta-llama/llama-3.3-70b-instruct,0,0.731,0.91,,0,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,"{ ""intent"": ""allocate"", ""chosen_strategy"": ""liquid_barbell_capped_tail"", ""allocation_usd"": { ""Aave_USDC"": 30000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 0, ""GMX_GLP"": 0, ""Pendle_PT-stETH"": 40000 }, ""expected_net_apy_pct"": 5.93, ""expected_90d_profit_usd"": 1482.5, ""liquidity_48h_usd"": 60000, ""reasoning"": ""Maximize risk-adjusted 90-day dollars by allocating $30,000 to Aave USDC and Curve 3pool for high liquidity and $40,000 to Pendle PT-stETH for fixed APY, avoiding adversarial queues and imbalance fees."" }"
AGI-004,meta-llama/llama-4-maverick,0,0.731,0.91,,0,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,"{ ""intent"": ""allocate"", ""order_type"": ""strategy"", ""asset"": ""USD"", ""size"": ""100000"", ""unit"": ""usd"", ""venue"": ""yield_venues"", ""venue_name"": ""multiple"", ""risk_controls"": { ""position_size_limit"": ""30000"" }, ""follow_up"": ""monitor_liquidity"", ""reasoning"": ""Optimized allocation across venues to maximize risk-adjusted returns while maintaining liquidity and avoiding excessive exposure to any single venue's risks."", ""chosen_strategy"": ""liquid_barbell_capped_tail"", ""allocation_usd"": { ""Aave_USDC"": 50000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 0, ""Pendle_PT-stETH"": 0, ""GMX_GLP"": 20000 }, ""expected_net_apy_pct"": 6.53, ""expected_90d_profit_usd"": 1610."
AGI-004,meta-llama/llama-4-scout,0,0.731,0.91,,0,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,"{ ""intent"": ""allocate"", ""chosen_strategy"": ""liquid_barbell_capped_tail"", ""allocation_usd"": { ""Aave_USDC"": 50000, ""Curve_3pool"": 30000, ""Pendle_PT-stETH"": 20000, ""GMX_GLP"": 0, ""Ethena_USDe"": 0 }, ""expected_net_apy_pct"": 6.84, ""expected_90d_profit_usd"": 6156, ""liquidity_48h_usd"": 80000, ""reasoning"": ""Maximize liquidity and APY while capping tail risk"" }"
AGI-004,meta-llama/llama-3.1-8b-instruct,0,0.731,0.91,,0,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Curve_3pool|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd,"{ ""intent"": ""allocate"", ""chosen_strategy"": ""liquid_barbell_capped_tail"", ""allocation_usd"": { ""Aave_USDC"": 30000, ""Curve_3pool"": 20000, ""Ethena_USDe"": 50000, ""GMX_GLP"": 0 }, ""expected_net_apy_pct"": 12.5, ""expected_90d_profit_usd"": 123456.78, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Allocate $30,000 to Aave USDC and $20,000 to Curve 3pool for a 4.2% and 8.1% APY respectively, while allocating $50,000 to Ethena USDe for a 15.2% APY, avoiding the adversarial queue and maximizing risk-adjusted 90-day dollars."" }"
AGI-063,meta-llama/llama-3.3-70b-instruct,0,0.727,0.77,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{ ""intent"": ""convert"", ""order_type"": ""market"", ""asset"": ""ETH"", ""size"": ""2000000"", ""unit"": ""usd"", ""venue"": ""multiple"", ""risk_controls"": { ""slippage_tolerance"": ""1%"" }, ""follow_up"": ""monitor fill"", ""reasoning"": ""route optimization for $2,000,000 USDC to ETH conversion"", ""chosen_strategy"": ""multi-venue execution"", ""venue_allocation_usd"": { ""Kraken"": 500000, ""Uniswap_Arbitrum"": 450000, ""Curve_ETH"": 400000, ""Binance"": 350000, ""Velodrome_Optimism"": 300000 }, ""largest_visible_clip_usd"": 500000, ""expected_asset_received"": 665.45, ""effective_price"": 3003.92, ""self_check"": true }"
