question_id,level,rubric_id,prompt,model,pass_count_3,majority_pass,pass_bits_n1_n2_n3,scores_n1_n2_n3,avg_score,median_score,avg_duration_ms
L1-001,L1,market_buy,Buy 0.5 BTC at market price,meta-llama/llama-4-scout,2,1,0|1|1,0.419|0.869|0.869,0.719,0.869,1682
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",meta-llama/llama-4-scout,1,0,0|0|1,0.637|0.637|0.722,0.665,0.637,2520
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",meta-llama/llama-3.1-8b-instruct,2,1,0|1|1,0.589|0.704|0.704,0.665,0.704,3048
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,meta-llama/llama-4-maverick,1,0,0|1|0,0.69|0.85|0.69,0.743,0.690,2857
L2-003,L2,dex_swap,Buy 1000 MATIC with minimal gas fees,meta-llama/llama-4-scout,1,0,1|0|0,0.821|0.681|0.641,0.714,0.681,3329
L2-004,L2,arbitrage,"Analyze liquidity before swapping 50,000 USDC for WETH",meta-llama/llama-4-maverick,1,0,0|0|1,0.605|0.605|0.684,0.631,0.605,2445
L4-001,L4,arbitrage,"Rebalance my portfolio to 60% BTC, 30% ETH, 10% USDC. Optimize for matching the 60/30/10 target weights exactly; if current holdings are missing, require follow-up before execution.",meta-llama/llama-3.3-70b-instruct,1,0,1|0|0,0.78|0.632|0.645,0.686,0.645,6172
L4-002,L4,arbitrage,"Assess correlation risk across BTC, ETH, SOL, MATIC, LINK. Optimize for identifying portfolio-wide correlation risk across all five listed assets and actionable diversification implications.",meta-llama/llama-3.3-70b-instruct,2,1,1|1|0,0.704|0.804|0,0.503,0.704,4966
L4-002,L4,arbitrage,"Assess correlation risk across BTC, ETH, SOL, MATIC, LINK. Optimize for identifying portfolio-wide correlation risk across all five listed assets and actionable diversification implications.",meta-llama/llama-4-maverick,1,0,0|1|0,0|0.83|0,0.277,0.000,2287
L4-004,L4,arbitrage_stress_test,Stress test my portfolio for a -50% crypto crash,meta-llama/llama-4-scout,1,0,0|0|1,0|0|0.92,0.307,0.000,2401
L5-003,L5,arbitrage,Enter delta-neutral yield farming with 5 ETH,meta-llama/llama-3.1-8b-instruct,1,0,0|0|1,0.673|0.673|0.733,0.693,0.673,4826
L6-002,L6,futures_trade,Set up DCA — buy $500 of BTC weekly for 3 months,meta-llama/llama-4-scout,2,1,1|1|0,0.76|0.76|0.68,0.733,0.760,2542
L6-003,L6,futures_trade,"Create ladder buy orders every $1,000 from $40k to $45k for BTC",meta-llama/llama-3.3-70b-instruct,2,1,1|0|1,0.775|0.688|0.775,0.746,0.775,5497
L6-003,L6,futures_trade,"Create ladder buy orders every $1,000 from $40k to $45k for BTC",meta-llama/llama-4-scout,1,0,0|0|1,0.673|0.3|0.777,0.583,0.673,4515
L6-003,L6,futures_trade,"Create ladder buy orders every $1,000 from $40k to $45k for BTC",meta-llama/llama-3.1-8b-instruct,1,0,0|1|0,0.657|0.76|0.657,0.691,0.657,2354
L6-004,L6,stop_loss,Set a trailing stop 5% below market on my 0.5 BTC,meta-llama/llama-3.3-70b-instruct,1,0,0|0|1,0.576|0.609|0.743,0.643,0.609,3675
L6-004,L6,stop_loss,Set a trailing stop 5% below market on my 0.5 BTC,meta-llama/llama-3.1-8b-instruct,2,1,1|0|1,0.856|0.633|0.856,0.782,0.856,2155
L6-005,L6,twap_order,Execute a TWAP order to sell 10 ETH over the next 4 hours,meta-llama/llama-4-maverick,2,1,1|0|1,0.779|0|0.779,0.519,0.779,1389
L7-004,L7,portfolio_efficiency_analysis,"I have $100,000 USDC allocated across three DeFi protocols:

50% ($50,000) → Aave USDC Lending
- APY: 4.2%
- Risk Score: 1.0

30% ($30,000) → Curve 3pool (USDC/USDT/DAI)
- APY: 6.8%
- Risk Score: 2.0

20% ($20,000) → Yearn USDC Vault
- APY: 8.1%
- Risk Score: 3.0

The current risk-free rate (US T-Bills) is 5.0%.

Calculate: (1) the portfolio's blended APY, (2) the portfolio's weighted-average risk score, (3) the portfolio's excess return over the risk-free rate, (4) the portfolio's risk-adjusted return ratio (excess return divided by weighted risk), and (5) the expected annual yield in USD.",meta-llama/llama-4-maverick,2,1,0|1|1,0|0.917|0.917,0.611,0.917,5073
