id,rubric_id,tier_tagged,tier_observed,tier_variance,answer_key_verdict,problem_rubric_hash,solution_hash,full_review_hash,canonical_grade_pass,canonical_grade_score,canonical_grade_confidence,primary_domain,capability_tag,scenario_family,feasibility_trap,required_fields,validation_fields,notes
SB-L4-001,stockbench-l4-001,L4,L4,0,VERIFIED,ffb228d7d343e9d041e301fb0898471b960be9a29a213a7d901662d667eac374,4ae450757bd61d2c7267248b82ef07b9bb7eee830897cbc03b224323957229b8,0c1c2ac573b50f20f704d3761f56915f36b16e02709859c5a00286b6a0784416,true,1,1,Shorting / borrow / margin / locates,judgment_risk_augmentation,borrow_cost_calendar,false,intent|order_type|asset|size|price|borrow_days|borrow_cost_usd|venue,borrow_cost_usd,
SB-L9-001,stockbench-l9-001,L9,L9,0,VERIFIED,d174aa131884283d21592ff2e6382edf3be0ecf8766ed3432e660e166b43da33,a137b065c7c44b3d4125bc59f0e343a12b28206a7e87f94aa906b2d922f69846,4233789c926390cf9ed885ee77fe3f9d8aee16a26b11d3c45e7ce7063bac6aa7,true,1,1,Futures / commodities / spreads / rolls,execution_action_quality,futures_beta_hedge,true,decision|selected_instrument|es_contracts|hedge_notional_usd|beta_reduction_pct|margin_used|expected_cost|feasibility|rejected_routes,decision|selected_instrument|es_contracts|hedge_notional_usd|beta_reduction_pct|margin_used|expected_cost|feasibility|rejected_routes,
SB-AGI-001,stockbench-agi-001,AGI,AGI,0,VERIFIED,9facde417459a7c33d56c889b0351af7bb6b44a0efc68e7dc4edfeb41baf67d4,fba2ba830b41179ac08f068f26148b2016f82bc1fba88d61d67247f60a2c532b,de754feb621e1556171d3417d7082835defe36e7931f1abcf8d91e6bbbd81b7d,true,1,1,Feasibility / rejection / no-trade traps,execution_action_quality,borrow_recall_margin_hedge,true,decision|chosen_strategy|execution_sequence|aapl_buy_to_cover_shares|aapl_cover_cash_used|es_contracts|spy_put_contracts|option_premium_paid|margin_used|cash_after_execution|beta_reduction_pct|scenario_pnl.risk_off|scenario_pnl.tech_squeeze|scenario_pnl.index_flat_aapl_squeeze|worst_case_pnl|feasibility|rejected_routes|self_check,decision|chosen_strategy|execution_sequence|aapl_buy_to_cover_shares|aapl_cover_cash_used|es_contracts|spy_put_contracts|option_premium_paid|margin_used|cash_after_execution|beta_reduction_pct|scenario_pnl.risk_off|scenario_pnl.tech_squeeze|scenario_pnl.index_flat_aapl_squeeze|worst_case_pnl|feasibility|rejected_routes|self_check,
SB-L1-001,stockbench-l1-001,L1,L1,0,VERIFIED,d36e697102d82db81dff199918e80d6d7808ca5c203ce42714c390e3ce00ff74,58aa18c8ff1323080dd88d5f03e4727421bb5d234907852094e4575a7cb57acb,5e33efdda3a8a38732a98576b0194dbf713c5ad65addc79d480f5700a63aa4e0,true,1,1,Spot equities / ETFs,execution_action_quality,equity_order_ticket,false,decision|instrument|side|quantity|order_type|limit_price|time_in_force|venue,decision|instrument|side|quantity|order_type|limit_price|time_in_force|venue,
SB-L2-001,stockbench-l2-001,L2,L2,0,VERIFIED,0ca5e0f0ad21fb2f780ea5b6a58c4ce0355fec0c8cdd5450ea5a14caccf32af5,c305203e587b9f74e77f7704a8f4e0fbdb58e0f8676a98f314ff81348a9beb54,bb5131167eafd9919358b63e5138d49a60209b95a7f90f5416c8fa737ee6574c,true,1,1,Futures / commodities / spreads / rolls,judgment_risk_augmentation,futures_notional_math,false,decision|instrument|contracts|multiplier|price|notional_usd,decision|instrument|contracts|multiplier|price|notional_usd,
SB-L3-001,stockbench-l3-001,L3,L3,0,VERIFIED,e124ed54b006d87c675f29107e24ad04774c459d6b31993a71897d7c3a2e86a7,c3395c4118a81fd2ffb10e74948c8db2e4f912e1061ad7be486043946f93fde6,06c52f7b70c03f0e11b44ebb1af872437e165f85a63e719f4aee1b39c7e1a87c,true,1,1,Spot FX / CFDs / multi-currency,judgment_risk_augmentation,fx_pnl_conversion,false,decision|instrument|eur_notional|gross_pnl_usd|fee_usd|net_pnl_usd,decision|instrument|eur_notional|gross_pnl_usd|fee_usd|net_pnl_usd,
SB-L5-001,stockbench-l5-001,L5,L5,0,VERIFIED,908bb7d2de7aae4d71a06c8935f76263951d12ff037f9153cbef52a3e3e88471,4bf8622a26a2a6dba32866712fedf1907ae1911a39aef1af3153ca2acc024f80,3cec761db37e1e0cd007255a6a2e3db502ee92ccc02e79694c05e092d0fe0888,true,1,1,Execution / liquidity / microstructure,execution_action_quality,session_limit_order_ticket,false,decision|instrument|side|quantity|order_type|limit_price|time_in_force|venue|feasibility,decision|instrument|side|quantity|order_type|limit_price|time_in_force|venue|feasibility,
SB-L6-001,stockbench-l6-001,L6,L6,0,VERIFIED,f0355894a5e5e982d397c59217f5aea09b83bfdf808fbe233da9a47e42bd1de3,9cd6f6236356ca27bc20f1955f8044d1dfa573ec143da642a483e20d98b58df4,8e2d46d2fe9edfcfd70ff9865acd22e213a310076dcc539d3dc59a277df4c689,true,1,1,Corporate actions / settlement / calendar / jurisdiction,execution_action_quality,t_plus_one_settlement_sequence,true,decision|instrument|trade_date|settlement_rule|settlement_date|settled_cash_usd|withdrawal_allowed_date,decision|instrument|trade_date|settlement_rule|settlement_date|settled_cash_usd|withdrawal_allowed_date,
SB-L7-001,stockbench-l7-001,L7,L7,0,VERIFIED,74048759de8c889e2f097445db240a281551f9c06b2309f9cd8152d074aa548b,cbe1f9a3ddfc8b35557e70c25fb8e3c20da6cb98991e1f4fc72400c1029f502e,5cfe93eee8543f11f214200d313df984f8529c266651dd6e5a6e12a2d9af5139,true,1,1,Portfolio risk / rebalancing,judgment_risk_augmentation,beta_dollar_rebalance,false,decision|instrument|side|quantity|current_beta_dollars|target_max_beta_dollars|post_trade_beta_dollars,decision|instrument|side|quantity|current_beta_dollars|target_max_beta_dollars|post_trade_beta_dollars,
SB-L8-001,stockbench-l8-001,L8,L8,0,VERIFIED,76ac76a8f180c504ad03e2d5f40f77180596d7dc7c2b654c1fddfce122e5ebce,731fae2cadbf88005abde85ceab809d8bf3c7a96e3df11f9e0ed221b301aad66,a801ea2f926f1bb7f5eef1d2f069826031953dddff1d399d21673aad9224e714,true,1,1,Listed options strategy / Greeks,execution_action_quality,covered_call_assignment,true,decision|instrument|action|contracts|premium_paid|assignment_risk|reason_code,decision|instrument|action|contracts|premium_paid|assignment_risk|reason_code,
