question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L1-001,1,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.756,3285,1,0.869,5369,,1,0.869,1904,,0,0.419,4218,mismatch_fieldname|mismatch_fieldname,1,0.869,1650,
L1-003,1,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.775,3028,1,0.875,3035,,1,1.000,5333,,0,0.637,1898,,0,0.589,1844,
L2-001,2,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.730,3221,0,0.690,3000,,0,0.690,3257,,1,0.850,3974,,0,0.690,2651,
L2-003,2,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.838,4572,1,0.976,4056,,1,0.920,5756,,1,0.821,6546,,0,0.635,1930,
L3-001,3,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.584,5763,0,0.663,11560,,0,0.443,6072,,1,0.866,2603,,0,0.364,2817,
L3-003,3,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.783,6536,1,0.795,11222,,1,0.814,6980,,1,0.963,5632,,0,0.559,2308,
L4-001,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.195,4045,1,0.780,7735,,0,0.000,3084,rebalance_missing_percentages,0,0.000,2592,missing_field|missing_field|rebalance_missing_assets,0,0.000,2768,rebalance_missing_percentages
L4-002,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.176,4393,1,0.704,3713,,0,0.000,3426,correlation_invalid_order_type,0,0.000,7534,correlation_invalid_order_type,0,0.000,2897,correlation_invalid_order_type
L4-004,4,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.230,5440,0,0.000,13547,stress_test_invalid_size,1,0.920,4194,,0,0.000,3554,stress_test_invalid_size,0,0.000,463,stress_test_invalid_order_type
L6-003,6,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.720,3323,1,0.775,3544,,1,0.775,4960,,0,0.673,2988,mismatch_fieldname,0,0.657,1799,
