id,tier,base_pass,tuned_pass,base_score,tuned_score,delta,tuned_only,base_only,base_failures,tuned_failures
"AGI-001","AGI","false","false","0.5555555555555556","0.5555555555555556","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:worst_case_residual_pnl_usd"
"AGI-002","AGI","false","false","0.25","0","-0.25","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Dark_RFQ_B|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.RFQ_A","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Dark_RFQ_B|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:expected_avg_price|agi_validation_failed:expected_slippage_pct"
"AGI-003","AGI","false","false","0.2857142857142857","0.2857142857142857","0","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check"
"AGI-004","AGI","false","false","0.3333333333333333","0.3333333333333333","0","false","false","agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd","agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd"
"AGI-005","AGI","false","false","0.375","0.5","0.125","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:expected_loss_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_arrival_minutes|agi_validation_failed:self_check"
"AGI-006","AGI","false","false","0.5","0.5","0","false","false","agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price","agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price"
"AGI-007","AGI","false","false","0","0.2","0.2","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct"
"AGI-008","AGI","false","false","0.2222222222222222","0.1111111111111111","-0.111","false","false","agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check","agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:direct_usdt_neutralized_usd|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check"
"AGI-009","AGI","false","false","0","0.4","0.4","false","false","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes","agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path"
"AGI-010","AGI","false","false","0","0.2857142857142857","0.286","false","false","agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field","agi_validation_failed:intent|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd"
