model,question_id,pass,score,confidence,failure_reasons,field_scores,raw_snippet
meta-llama/llama-4-maverick,AGI-015,1,0.778,1.000,agi_validation_failed:intent;agi_validation_failed:effective_price,"{""intent"":0,""chosen_strategy"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""expected_eth_received"":1,""effective_price"":0}","{""intent"": ""swap"", ""order_type"": ""complex"", ""asset"": ""ETH"", ""size"": ""2000000"", ""unit"": ""USDC"", ""venue"": ""multi-venue"", ""venue_name"": ""various"", ""risk_controls"": {""slippage_tolerance"": ""0.5%""}, ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocat"
meta-llama/llama-4-maverick,AGI-030,1,0.778,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{""intent"": ""allocate"", ""chosen_strategy"": ""diversified liquid venues"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.69, ""expected_90d_profit_usd"": 2139.04, ""liquidity_48h_usd"": "
meta-llama/llama-4-scout,AGI-024,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential dark fills"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": { ""Dark_RFQ"": 15000, ""Internalizer"": 18000, ""RFQ_A"": 10000, ""hidden_public"": 7000 }, ""hidden_public_qty"""
meta-llama/llama-4-scout,AGI-063,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":1,""effective_price"":1,""self_check"":0}","{ ""intent"": ""swap"", ""chosen_strategy"": ""private route optimization"", ""venue_allocation_usd"": { ""Kraken"": 500000, ""Uniswap_Arbitrum"": 450000, ""Curve_ETH"": 400000, ""Binance"": 350000, ""Velodrome_Optimism"": 300000 }, ""largest_visible_clip_usd"": 500000, ""expected_a"
meta-llama/llama-3.3-70b-instruct,AGI-065,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Binance"":1,""venue_allocation_usd.Jupiter_Solana"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.OTC_Circle"":1,""venue_allocation_usd.Coinbase"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":1,""effective_price"":1,""self_check"":0}","{ ""intent"": ""convert"", ""order_type"": ""market"", ""asset"": ""SOL"", ""size"": 2000000, ""unit"": ""usd"", ""venue"": ""multiple"", ""risk_controls"": { ""slippage_tolerance"": ""1%"" }, ""follow_up"": ""monitor execution"", ""reasoning"": ""multi-venue execution to minimize slippage"", ""r"
meta-llama/llama-4-maverick,AGI-086,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""ABC"", ""size"": ""50000"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": {""Dark_RFQ"": 150"
meta-llama/llama-4-maverick,AGI-088,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""KAP"", ""size"": ""120000"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public""], ""venue_fills"": {""Internalizer"""
meta-llama/llama-3.3-70b-instruct,AGI-062,0,0.692,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:pnl_30d_usd;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""perp_short_allocation_usd.Binance"":1,""perp_short_allocation_usd.OKX"":1,""perp_short_allocation_usd.Bybit"":1,""perp_short_allocation_usd.Hyperliquid"":1,""perp_short_allocation_usd.dYdX"":1,""leverage"":1,""apr_pct"":1,""pnl_30d_usd"":0,""cascade_buffer_pct"":1,""survives_cascade"":1,""self_check"":0}","{ ""intent"": ""build delta-neutral ladder"", ""chosen_strategy"": ""diversified short allocation"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 24.4, ""pnl_30d_usd"": "
meta-llama/llama-4-scout,AGI-030,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:expected_90d_profit_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":0,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{ ""intent"": ""allocate"", ""chosen_strategy"": ""maximize risk-adjusted return"", ""allocation_usd"": { ""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000 }, ""expected_net_apy_pct"": 8.68, ""expected_90d_profit_usd"": 17100, ""liquidity_48h_u"
meta-llama/llama-4-maverick,AGI-031,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:liquidity_48h_usd,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":0,""allocation_usd.Aave_USDC"":1,""allocation_usd.Symbiotic_AVS"":1,""allocation_usd.EigenLayer_AVS"":1,""allocation_usd.Pendle_PT"":1}","{""intent"": ""allocate"", ""chosen_strategy"": ""diversified_restaking"", ""allocation_usd"": {""Aave_USDC"": 25000, ""Symbiotic_AVS"": 20000, ""EigenLayer_AVS"": 25000, ""Pendle_PT"": 30000}, ""expected_net_apy_pct"": 7.89, ""expected_90d_profit_usd"": 1945.89, ""liquidity_48h_usd"
