question_id,tier,title,proximity_band,best_score,best_model,top3_models,common_failure_reasons,verifier_status,skill_failure_modes,recommended_action,codex_analysis
L5-001,L5,liquidity_provision,near_threshold,0.718,anthropic/claude-sonnet-4.6,anthropic/claude-sonnet-4.6:0.7177142857142857 | google/gemma-4-26b-a4b-it:0.7177142857142857 | anthropic/claude-sonnet-4.5:0.7177142857142857,(none):67; missing_field:1; generation_failed:1; blank response:1,verifier_artifact_likely,Uniswap V3 range-LP terminology; IL/range risk control; rubric synonym following,Loosen synonyms/threshold or rewrite expected schema before using as training/eval failure.,"Models were very close and often used materially correct Uniswap V3 concentrated-liquidity language, but the rubric/synonyms and 0.72 threshold reject near-correct range-LP answers. This is not a clean model-capability failure."
L5-002,L5,lending_borrow,way_off,0.000,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0 | qwen/qwen3.6-max-preview:0 | qwen/qwen3.7-max:0,leverage_invalid_order_type:39; leverage_invalid_intent:28; leverage_missing_3x:1; generation_failed:1; blank response:1,verifier_artifact_likely,Aave recursive leverage loop; schema wording flexibility; leverage-risk explanation,Accept loop/recursive_loop/deposit_borrow_swap when the reasoning establishes 3x Aave leverage.,"The prompt asks for a 3x Aave leverage loop, but the custom validator rejects common valid labels like loop/leverage_long even when reasoning describes deposit-borrow-swap. This is too narrow."
L7-001,L7,arbitrage,way_off,0.000,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0 | qwen/qwen3.6-max-preview:0 | qwen/qwen3.7-max:0,l7_001_asset_must_be_multi_or_generic:64; l7_001_size_must_be_flash_loan_or_generic:3; mismatch_fieldname:3; missing_field:2; parse_failed:1,prompt_rubric_mismatch,Flash-loan arbitrage abstraction; meta-vs-concrete task framing,Rewrite prompt as a generic/meta analysis task or loosen the rubric to accept concrete worked analysis.,"The prompt sounds like a concrete analysis task, while the rubric expects a generic meta-answer and auto-fails concrete assets/sizes. Models reasonably instantiated examples."
L9-043,L9,L9-043,way_off,0.000,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0 | qwen/qwen3.6-max-preview:0 | qwen/qwen3.7-max:0,l9_expected_value_mismatch:64; mismatch_fieldname:3; parse_failed:2,canonical_error_likely,Governance EV arithmetic; prompt/canonical consistency,Fix prompt or canonical; exclude from training/eval analysis until repaired.,"The prompt says bribes cost $0 per ARB vote, but the canonical subtracts $52,250 of bribe cost. Several models computed the prompt-consistent EV, so this row is unfair as written."
AGI-003,AGI,The Funding Rate Trap,partial,0.429,moonshotai/kimi-k2.5,moonshotai/kimi-k2.5:0.42857142857142855 | z-ai/glm-5-turbo:0.42857142857142855 | qwen/qwen3.7-plus:0.2857142857142857,missing_field:73; agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:55; agi_validation_failed:worst_case_margin_drawdown_pct:53; agi_validation_failed:funding_window_pnl_usd:52,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"The Funding Rate Trap shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-005,AGI,The Bridge Risk Matrix,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:63; agi_validation_failed:self_check:59; missing_field:50; agi_validation_failed:expected_loss_usd:43,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","The Bridge Risk Matrix has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-007,AGI,The Protocol Economics Puzzle,close,0.625,meta-llama/llama-4-scout,meta-llama/llama-4-scout:0.625 | inception/mercury-2:0.4 | meta-llama/llama-3.3-70b-instruct:0.3125,agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:63; agi_validation_failed:position:61; agi_validation_failed:expected_12d_price_change_pct:60; missing_field:23,close_but_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","The Protocol Economics Puzzle has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-008,AGI,The Regulatory Risk Cascade,partial,0.556,openai/gpt-5.2-codex,openai/gpt-5.2-codex:0.5555555555555556 | qwen/qwen3.5-flash-02-23:0.4444444444444444 | qwen/qwen3.7-plus:0.3333333333333333,missing_field:82; agi_validation_failed:intent:69; agi_validation_failed:self_check:58; agi_validation_failed:actions:57; agi_validation_failed:expected_execution_cost_usd:57,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"The Regulatory Risk Cascade shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-009,AGI,The Optimal Path Finder,partial,0.400,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.4 | qwen/qwen3.6-max-preview:0.4 | qwen/qwen3.7-max:0.4,agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:57; agi_validation_failed:chosen_path:57; missing_field:47; agi_validation_failed:expected_wld:29,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"The Optimal Path Finder shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-010,AGI,The Market Maker Game Theory,partial,0.455,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct:0.4545454545454546 | meta-llama/llama-4-maverick:0.4545454545454546 | anthropic/claude-sonnet-4.5:0.42857142857142855,agi_validation_failed:intent:66; agi_validation_failed:spread_bps:60; agi_validation_failed:update_ms:60; agi_validation_failed:toxic_defense:58; agi_validation_failed:expected_daily_pnl_usd:57,genuinely_hard_partial,AGI numeric derivation; scenario PnL reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"The Market Maker Game Theory shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
