id,problem_rubric_hash,full_review_hash,answer_key_verdict,tier_tagged,tier_observed,tier_variance,notes
SB-L4-001,ecb2339dfc404282cb3031f01bd7ff78f24f5910d100384f6736e49f09b90d74,6020668ca8f47ba010b65b60a5a11f15a2cbdd13c50faefb8259b00945cde41c,PARTIAL,L4,L4,0,underivable_required_labels:order_type
SB-L9-001,43c5b561bb10bff6bc8238bc87a39d5c7aa40ad4266c6456e7a702c95da2cd70,031077cff381e00dea16438705754ac17a5942df22689d00189d428963034147,PARTIAL,L9,L9,0,underivable_required_labels:rejected_routes[]
SB-AGI-001,9d0864d84cb41c3e121b769564169ea5cfc1220b35bcce626b981838d57db4d2,96319c811a94497996f7f28ee3e3ab657a7572e196879db739c091c56f26d8e1,PARTIAL,AGI,AGI,0,underivable_required_labels:rejected_routes[]
SB-L1-001,b26a63c40a4f10223f2a821c6eb52d5cceafdec2aea917dbaddfb0b1e806e77e,3679018eab2b8e1222d524fa3c895d4c543929918a65421a097d4fc5994d212e,PARTIAL,L1,L1,0,underivable_required_labels:decision
SB-L2-001,6991bf04ef078b6ba1f1811c248ff993eda9f38c3c3a70267f0ad8df4a90f299,241735798d962588f03d98d754cde81646340498bde4c79cd4f8db7ab1987175,PARTIAL,L2,L2,0,underivable_required_labels:decision
SB-L3-001,b72265082043cc50019c6eed52253d9e1c3e8f8cecd41170d56be844f37aab55,905c24dfb97320fca512a9b0981e5e427be86fd6259e9da28f46697973fc96c3,PARTIAL,L3,L3,0,underivable_required_labels:decision
SB-L5-001,8d701555abddff3825b880544841c745de62acfecf033ec06805d7e8693baaa6,491acb0816a1147b18349fb2dff4380a36400fb0efded9133ceb3cd89a239dd6,PARTIAL,L5,L5,0,underivable_required_labels:decision
SB-L6-001,e6dbed827bf2edabbdcf1e86f5ae5372d59dbba8ff184099db4b672d9315454f,f322f9ed93645ba8dca5f000c270d0de67c0bdc783afc8daf43146e2ca7f392e,PARTIAL,L6,L6,0,underivable_required_labels:decision
SB-L7-001,6ccb5afdc2bbb2147404ca88a78750e26975481e6b57bf0963479675b2794b91,8a31adbfc92799f19a75d761a65ae9174cc6f40dd0d8ce23f968cfccc6f3331d,PARTIAL,L7,L7,0,underivable_required_labels:decision
SB-L8-001,542ba01cf770bd262e5cb5b6ee7de7209bfad6d36fc500f90d75432b983d6495,b2d23bca78e2cb4dfa6317d62df54c00d0b4463f35a20595c1a9995ad26611d1,VERIFIED,L8,L8,0,numeric_derivable_and_no_blocking_label
SB-L9-002,4012cda482cf617bd121737bf27772dd569e04effb7151d9902509bc75ce0cba,ce921127bfb153504d5fc76ae8223f7964428e413ba943b73377e41dbc7fdbc3,PARTIAL,L9,L9,0,underivable_required_labels:chosen_strategy|rejected_routes[]
SB-L9-003,37211f1c10a726f59e1617443fef332d9c28e0ce736f23aa7ffe399e890ab0e1,f0ce9ac7e199d283c42827d6fe520e782d4b95b636730517dc74b297e4356d3d,PARTIAL,L9,L8,1,underivable_required_labels:rejected_routes[]
SB-L9-004,36297e79652dd8593c90e3c49674110668536649e4bbdce2fd19fe6c89bdc18c,065b502f7d35c06e36e911987ab6f2e4848ad8eece9d33199cc91a0719642df7,PARTIAL,L9,L9,0,underivable_required_labels:decision
SB-L9-005,10a461735a928a39b5243684d08979289a73e0e8f7cb07442de2b15fe132e8ad,20b680f1efb7d83fe80589ec596bfd597e1871704ff71e4c7230e848a2f61db8,VERIFIED,L9,L9,0,numeric_derivable_and_no_blocking_label
SB-L9-006,bff672de6ea9914e917227c19813377160558bee528271c6286048393f640c52,5df7c56b5aabbeb6f4dd59379ef4d16a234c5cc2007bb3e1df9d5a1d721f5287,PARTIAL,L9,L9,0,underivable_required_labels:decision
