rank,model,pass,total,pass_rate_pct,clean,dirty,answered_fail,source
1,qwen/qwen3.7-plus,175,300,58.3,292,8,117,parallel-runner final checkpoints
2,qwen/qwen3.6-max-preview,173,300,57.7,299,1,126,parallel-runner final checkpoints
3,qwen/qwen3.7-max,169,300,56.3,299,1,130,parallel-runner final checkpoints
4,qwen/qwen3.5-plus-20260420,165,300,55.0,300,0,135,parallel-runner final checkpoints
5,qwen/qwen3.6-flash,165,300,55.0,300,0,135,parallel-runner final checkpoints
6,qwen/qwen3.6-27b,164,300,54.7,294,6,130,qwen open-weight final checkpoint aggregate
7,moonshotai/kimi-k2.7-code,160,300,53.3,266,34,106,kimi-k2.7-code final aggregate
8,moonshotai/kimi-k2.5,159,300,53.0,300,0,141,kimi-k2.5 final repair aggregate
9,z-ai/glm-5-turbo,158,300,52.7,298,2,140,glm final residual aggregate
10,openai/gpt-5.3-codex,157,300,52.3,297,3,140,parallel-runner final checkpoints
11,openai/gpt-5.5,156,300,52.0,292,8,136,parallel-runner final checkpoints
12,anthropic/claude-fable-5,154,300,51.3,287,13,133,parallel-runner final checkpoints
13,x-ai/grok-build-0.1,153,300,51.0,300,0,147,parallel-runner final checkpoints
14,z-ai/glm-5.1,153,300,51.0,296,4,143,glm final residual aggregate
15,qwen/qwen3.5-27b,151,300,50.3,298,2,147,parallel-runner final checkpoints
16,qwen/qwen3.6-35b-a3b,148,300,49.3,299,1,151,qwen open-weight final checkpoint aggregate
17,openai/gpt-5.4-pro,146,300,48.7,190,110,44,parallel-runner final checkpoints
18,google/gemini-3.1-pro-preview,137,300,45.7,300,0,163,parallel-runner final checkpoints
19,qwen/qwen3.5-122b-a10b,132,300,44.0,280,20,148,parallel-runner final checkpoints
20,z-ai/glm-5,131,300,43.7,296,4,165,glm final residual aggregate
21,openai/gpt-5.5-pro,131,300,43.7,187,113,56,parallel-runner final checkpoints
22,google/gemini-3.5-flash,130,300,43.3,300,0,170,parallel-runner final checkpoints
23,minimax/minimax-m3,127,300,42.3,227,73,100,parallel-runner final checkpoints
24,inception/mercury-2,120,300,40.0,222,78,102,parallel-runner final checkpoints
25,moonshotai/kimi-k2.6,114,300,38.0,252,48,138,kimi-k2.6 final checkpoint aggregate
26,prime-intellect/intellect-3,114,300,38.0,241,59,127,parallel-runner final checkpoints
27,x-ai/grok-4.3,112,300,37.3,300,0,188,parallel-runner final checkpoints
28,qwen/qwen3.5-9b,111,300,37.0,298,2,187,qwen open-weight final checkpoint aggregate
29,inclusionai/ring-2.6-1t,109,300,36.3,221,79,112,parallel-runner final checkpoints
30,minimax/minimax-m2.7,107,300,35.7,290,10,183,parallel-runner final checkpoints
31,minimax/minimax-m2.5,103,300,34.3,299,1,196,parallel-runner final checkpoints
32,deepseek/deepseek-v4-pro,103,300,34.3,293,7,190,parallel-runner final checkpoints
33,qwen/qwen3.5-397b-a17b,100,300,33.3,242,58,142,parallel-runner final checkpoints
34,anthropic/claude-sonnet-4.6,98,300,32.7,300,0,202,parallel-runner final checkpoints
35,minimax/minimax-m2,96,300,32.0,300,0,204,parallel-runner final checkpoints
36,anthropic/claude-opus-4.8,92,300,30.7,300,0,208,parallel-runner final checkpoints
37,google/gemma-4-26b-a4b-it,84,300,28.0,300,0,216,parallel-runner final checkpoints
38,google/gemini-3.1-flash-lite,82,300,27.3,300,0,218,parallel-runner final checkpoints
39,anthropic/claude-opus-4.7,81,300,27.0,300,0,219,parallel-runner final checkpoints
40,minimax/minimax-m2.1,81,300,27.0,298,2,217,parallel-runner final checkpoints
41,qwen/qwen3.5-35b-a3b,81,300,27.0,239,61,158,qwen open-weight final checkpoint aggregate
42,deepseek/deepseek-v4-flash,80,300,26.7,300,0,220,parallel-runner final checkpoints
