question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L2-004,2,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.621,3000,0,0.672,3140,,0,0.605,2604,,0,0.605,4357,,0,0.605,1900,
L3-002,3,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.568,3858,0,0.550,5087,,0,0.529,3809,,0,0.649,4704,,0,0.545,1832,
L4-003,4,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.411,8238,0,0.418,23226,,0,0.399,3584,,0,0.279,2171,,0,0.546,3969,
L4-005,4,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.492,3660,0,0.623,7462,,0,0.492,2865,,0,0.377,2565,,0,0.478,1748,
L5-001,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.508,3602,0,0.566,2931,,0,0.473,4255,,0,0.497,3675,,0,0.497,3546,
L5-002,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2983,0,0.000,1704,leverage_invalid_intent,0,0.000,6090,leverage_invalid_intent,0,0.000,1217,leverage_invalid_order_type,0,0.000,2920,leverage_invalid_order_type
L5-003,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.618,10786,0,0.617,31572,,0,0.598,4236,,0,0.581,2629,,0,0.673,4706,
L6-001,6,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2571,0,0.000,2853,options_missing_call_type,0,0.000,4898,options_missing_call_type,0,0.000,1001,options_asset_encoded,0,0.000,1533,options_missing_call_type
L7-001,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4785,0,0.000,3384,l7_001_asset_must_be_multi_or_generic,0,0.000,5429,l7_001_asset_must_be_multi_or_generic,0,0.000,3989,l7_001_asset_must_be_multi_or_generic,0,0.000,6339,l7_001_asset_must_be_multi_or_generic
L7-003,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3406,0,0.000,2587,lp_net_return_inconsistent_net_gain|lp_net_return_inconsistent_return_pct|lp_net_return_inconsistent_il_loss|lp_net_return_il_pct_mismatch,0,0.000,4526,lp_net_return_inconsistent_net_gain|lp_net_return_inconsistent_il_loss,0,0.000,3853,lp_net_return_inconsistent_il_loss|lp_net_return_il_pct_mismatch,0,0.000,2658,lp_net_return_inconsistent_il_loss|lp_net_return_il_pct_mismatch
L7-004,7,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,8644,0,0.000,15314,portfolio_efficiency_inconsistent_blended_apy|portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_excess_return|portfolio_efficiency_inconsistent_risk_ratio|portfolio_efficiency_inconsistent_total_yield,0,0.000,10419,portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_risk_ratio,0,0.000,4827,portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_risk_ratio,0,0.000,4014,portfolio_efficiency_inconsistent_blended_apy|portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_excess_return|portfolio_efficiency_inconsistent_risk_ratio|portfolio_efficiency_inconsistent_total_yield
L8-001,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5339,0,0.000,3205,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range,0,0.000,12958,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range,0,0.000,3697,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range|multi_protocol_liquidity_constraint,0,0.000,1496,multi_protocol_expected_value_out_of_bounds|multi_protocol_expected_value_out_of_range|multi_protocol_liquidity_constraint|multi_protocol_convex_auto_fail|multi_protocol_total_allocation_mismatch
L8-002,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.633,4894,0,0.667,4986,,0,0.600,5287,,0,0.667,4045,,0,0.600,5256,
L8-007,8,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.308,5394,0,0.232,2782,,0,0.360,5028,,0,0.320,2721,,0,0.320,11044,
L9-001,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3793,0,0.000,4940,l9_expected_value_mismatch,0,0.000,5929,mismatch_fieldname,0,0.000,2231,l9_expected_value_mismatch,0,0.000,2070,l9_expected_value_mismatch
L9-002,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,13278,0,0.000,4009,l9_expected_value_mismatch,0,0.000,6167,l9_expected_value_mismatch,0,0.000,2267,l9_expected_value_mismatch,0,0.000,40669,l9_expected_value_mismatch
L9-003,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4645,0,0.000,8816,l9_expected_value_mismatch,0,0.000,5557,l9_expected_value_mismatch,0,0.000,1739,l9_expected_value_mismatch,0,0.000,2466,l9_expected_value_mismatch
L9-004,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3867,0,0.000,2729,l9_expected_value_mismatch,0,0.000,5702,mismatch_fieldname,0,0.000,2824,l9_expected_value_mismatch,0,0.000,4213,l9_expected_value_mismatch
L9-005,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4298,0,0.000,1397,l9_expected_value_mismatch,0,0.000,4168,mismatch_fieldname,0,0.000,9068,l9_expected_value_mismatch,0,0.000,2558,l9_expected_value_mismatch
L9-006,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3799,0,0.000,6087,l9_expected_value_mismatch,0,0.000,6010,mismatch_fieldname,0,0.000,2355,l9_expected_value_mismatch,0,0.000,743,l9_expected_value_mismatch
L9-007,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3580,0,0.000,5472,l9_expected_value_mismatch,0,0.000,4483,l9_expected_value_mismatch,0,0.000,1425,mismatch_fieldname,0,0.000,2940,l9_expected_value_mismatch
L9-008,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5163,0,0.000,7744,l9_expected_value_mismatch,0,0.000,4807,mismatch_fieldname,0,0.000,2445,l9_expected_value_mismatch,0,0.000,5655,l9_expected_value_mismatch
L9-010,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2681,0,0.000,1267,l9_expected_value_mismatch,0,0.000,4214,l9_expected_value_mismatch,0,0.000,2356,l9_expected_value_mismatch,0,0.000,2885,l9_expected_value_mismatch
L9-013,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4511,0,0.000,7423,l9_expected_value_mismatch,0,0.000,2891,l9_expected_value_mismatch,0,0.000,6268,l9_expected_value_mismatch,0,0.000,1463,l9_expected_value_mismatch
L9-014,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5191,0,0.000,7769,l9_expected_value_mismatch,0,0.000,3480,mismatch_fieldname,0,0.000,5567,l9_expected_value_mismatch,0,0.000,3947,l9_expected_value_mismatch
L9-015,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3649,0,0.000,1467,l9_expected_value_mismatch,0,0.000,4843,l9_expected_value_mismatch,0,0.000,6892,l9_expected_value_mismatch,0,0.000,1394,l9_expected_value_mismatch
L9-017,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2531,0,0.000,1770,l9_expected_value_mismatch,0,0.000,4129,l9_expected_value_mismatch,0,0.000,1415,l9_expected_value_mismatch,0,0.000,2808,l9_expected_value_mismatch
L9-018,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,17654,0,0.000,2220,l9_expected_value_mismatch,0,0.000,2249,l9_expected_value_mismatch,0,0.000,1731,l9_expected_value_mismatch,0,0.000,64415,l9_expected_value_mismatch
