level,questions,model_question_pairs,n1_pass_rows,n1_pass_rate_pct,n1_avg_score,n1_avg_duration_ms,n2_pass_rows,n2_pass_rate_pct,n2_avg_score,n2_avg_duration_ms,n3_pass_rows,n3_pass_rate_pct,n3_avg_score,n3_avg_duration_ms,majority_pass_model_question_pairs,majority_total_pairs,majority_pass_rate_pct
L1,3,6,5/6,83.3,0.837,1822,6/6,100,0.868,1584,6/6,100,0.875,1115,6,6,100
L2,4,8,5/8,62.5,0.781,2124,5/8,62.5,0.781,1810,6/8,75,0.782,1469,5,8,62.5
L3,3,6,2/6,33.3,0.649,1510,1/6,16.7,0.499,1956,1/6,16.7,0.447,1699,1,6,16.7
L4,5,10,1/10,10,0.230,1668,1/10,10,0.303,2130,2/10,20,0.370,1961,1,10,10
L5,5,10,4/10,40,0.618,1966,4/10,40,0.629,2819,4/10,40,0.640,1650,4,10,40
L6,5,10,8/10,80,0.650,1475,8/10,80,0.659,1540,8/10,80,0.659,1946,8,10,80
L7,5,10,3/10,30,0.274,2789,4/10,40,0.370,3244,3/10,30,0.274,2803,4,10,40
L8,10,20,10/20,50,0.549,2883,9/20,45,0.537,3835,11/20,55,0.581,3414,11,20,55
L9,81,162,37/162,22.8,0.228,2673,35/162,21.6,0.216,2509,40/162,24.7,0.247,2815,36,162,22.2
L10,69,138,28/138,20.3,0.211,2965,26/138,18.8,0.193,2864,24/138,17.4,0.186,3338,23,138,16.7
L11/AGI,110,220,10/220,4.5,0.306,3956,8/220,3.6,0.317,3809,10/220,4.5,0.305,4284,9,220,4.1
