question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,{aliases[m]}_error,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,{aliases[m]}_error,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,{aliases[m]}_error,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures,{aliases[m]}_error
AGI-001,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.278,3162,0,0.333,3038,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:shorts.SOL.units|agi_validation_failed:expected_risk_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd,,0,0.000,1578,agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field,,0,0.444,2908,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:expected_risk_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd,,0,0.333,5122,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:shorts.MATIC.units|agi_validation_failed:shorts.SOL.units|agi_validation_failed:worst_case_residual_pnl_usd,
AGI-002,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.156,5212,0,0.375,7713,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:expected_avg_price|agi_validation_failed:expected_slippage_pct,,0,0.250,1503,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|missing_field|missing_field|missing_field,,0,0.000,3010,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Dark_RFQ_B|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:expected_avg_price|agi_validation_failed:expected_slippage_pct,,0,0.000,8622,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Dark_RFQ_B|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:expected_avg_price|agi_validation_failed:expected_slippage_pct,
AGI-003,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.286,2060,0,0.286,2587,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check,,0,0.286,1794,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check,,0,0.286,1174,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|missing_field|missing_field,,0,0.286,2684,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check,
AGI-004,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.222,3056,0,0.222,2965,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,,0,0.222,3580,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,,0,0.222,2430,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,,0,0.222,3247,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Curve_3pool|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,
AGI-005,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,7063,0,0.500,19810,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_loss_usd|agi_validation_failed:self_check,,0,0.375,1374,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_loss_usd|agi_validation_failed:expected_arrival_minutes|agi_validation_failed:self_check,,0,0.375,2261,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:expected_loss_usd|agi_validation_failed:self_check,,0,0.125,4806,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_allocation_usd.Alpha|agi_validation_failed:route_allocation_usd.Delta|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:expected_loss_usd|agi_validation_failed:self_check,
AGI-006,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,3121,0,0.500,6332,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price,,0,0.500,1976,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price,,0,0.500,2124,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price,,0,0.500,2051,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:price_band,
AGI-007,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1974,0,0.200,1777,agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct,,0,0.200,1828,agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct,,0,0.400,2943,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct,,0,0.200,1348,agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct,
AGI-008,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.167,5575,0,0.333,10204,agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,,0,0.222,3033,agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,,0,0.111,4275,agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:direct_usdt_neutralized_usd|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,,0,0.000,4789,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:direct_usdt_neutralized_usd|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,
AGI-009,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2973,0,0.000,4844,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes,,0,0.000,2250,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes,,0,0.000,2939,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes,,0,0.000,1859,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes,
AGI-010,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.214,2274,0,0.286,1721,agi_validation_failed:intent|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd,,0,0.286,1422,agi_validation_failed:intent|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd,,0,0.143,3669,agi_validation_failed:intent|missing_field|missing_field|missing_field|agi_validation_failed:toxic_defense|missing_field,,0,0.143,2282,agi_validation_failed:intent|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:max_inventory_usd|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd,
