question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,1,0.730,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L2-003,L2,dex_swap,Buy 1000 MATIC with minimal gas fees,2,0.754,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L2-004,L2,arbitrage,"Analyze liquidity before swapping 50,000 USDC for WETH",1,0.641,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L3-001,L3,cross_chain_bridge,Bridge 1000 USDC to Arbitrum and buy ARB,1,0.617,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L3-003,L3,cross_chain_bridge,Bridge 2 ETH from Ethereum to Polygon and swap for MATIC,3,0.769,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
L4-004,L4,arbitrage_stress_test,Stress test my portfolio for a -50% crypto crash,2,0.460,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct
L5-003,L5,arbitrage,Enter delta-neutral yield farming with 5 ETH,1,0.635,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout
L6-002,L6,futures_trade,Set up DCA — buy $500 of BTC weekly for 3 months,3,0.811,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout
L6-003,L6,futures_trade,"Create ladder buy orders every $1,000 from $40k to $45k for BTC",3,0.746,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct
L7-002,L7,lending_borrow,"Unwind my underwater position: 5 ETH collateral, 7,000 USDC borrowed",2,0.555,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L7-004,L7,portfolio_efficiency_analysis,"I have $100,000 USDC allocated across three DeFi protocols:

50% ($50,000) → Aave USDC Lending
- APY: 4.2%
- Risk Score: 1.0

30% ($30,000) → Curve 3pool (USDC/USDT/DAI)
- APY: 6.8%
- Risk Score: 2.0

20% ($20,000) → Yearn USDC Vault
- APY: 8.1%
- Risk Score: 3.0

The current risk-free rate (US T-Bills) is 5.0%.

Calculate: (1) the portfolio's blended APY, (2) the portfolio's weighted-average risk score, (3) the portfolio's excess return over the risk-free rate, (4) the portfolio's risk-adjusted return ratio (excess return divided by weighted risk), and (5) the expected annual yield in USD.",1,0.229,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
