L1-002 (L1, score=0.940, durationMs=1881)
L2-001 (L2, score=0.850, durationMs=3974)
L2-002 (L2, score=0.926, durationMs=4765)
L2-003 (L2, score=0.821, durationMs=6546)
L3-001 (L3, score=0.866, durationMs=2603)
L3-003 (L3, score=0.963, durationMs=5632)
L5-004 (L5, score=0.879, durationMs=2174)
L5-005 (L5, score=0.853, durationMs=2820)
L6-002 (L6, score=0.760, durationMs=706)
L6-004 (L6, score=0.863, durationMs=3215)
L6-005 (L6, score=0.870, durationMs=3154)
L7-005 (L7, score=0.893, durationMs=10309)
L8-003 (L8, score=0.807, durationMs=8905)
L8-004 (L8, score=0.907, durationMs=5433)
L8-005 (L8, score=1.000, durationMs=3003)
L8-006 (L8, score=1.000, durationMs=3789)
L8-008 (L8, score=0.713, durationMs=5083)
L8-009 (L8, score=1.000, durationMs=3237)
L8-010 (L8, score=0.738, durationMs=3252)
L9-011 (L9, score=1.000, durationMs=2787)
L9-012 (L9, score=1.000, durationMs=4692)
L9-020 (L9, score=1.000, durationMs=1198)
L9-025 (L9, score=1.000, durationMs=3775)
L9-028 (L9, score=1.000, durationMs=2309)
L9-036 (L9, score=1.000, durationMs=2957)
L9-040 (L9, score=1.000, durationMs=2875)
L9-044 (L9, score=1.000, durationMs=880)
L9-052 (L9, score=1.000, durationMs=1459)
L9-060 (L9, score=1.000, durationMs=2904)
L9-068 (L9, score=1.000, durationMs=3651)
L9-076 (L9, score=1.000, durationMs=6900)
L10-002 (L10, score=1.000, durationMs=1623)
L10-005 (L10, score=0.700, durationMs=2014)
L10-008 (L10, score=0.700, durationMs=6672)
L10-012 (L10, score=1.000, durationMs=4975)
L10-016 (L10, score=1.000, durationMs=3913)
L10-024 (L10, score=1.000, durationMs=1872)
L10-026 (L10, score=1.000, durationMs=5447)
L10-036 (L10, score=1.000, durationMs=1488)
L10-040 (L10, score=1.000, durationMs=1975)
L10-049 (L10, score=1.000, durationMs=1292)
L10-059 (L10, score=1.000, durationMs=2279)
L10-063 (L10, score=1.000, durationMs=913)
L10-068 (L10, score=0.700, durationMs=3321)
L10-069 (L10, score=0.700, durationMs=1943)
AGI-004 (L11, score=0.731, durationMs=3378)
AGI-006 (L11, score=0.824, durationMs=3464)
AGI-015 (L11, score=0.885, durationMs=3130)
