model,question_id,pass,score,confidence,failure_reasons,parsing_method,raw_snippet
meta-llama/llama-4-maverick,L10-002,1,1.000,1.000,,json,"{""intent"": ""hedge"", ""order_type"": ""market"", ""asset"": ""BTC"", ""size"": 35000000, ""unit"": ""usd"", ""venue"": ""binance"", ""risk_controls"": {""slippage_tolerance"": 1}, ""follow_up"": ""monitor oracle deviation"", ""reasoning"": ""hedge $35M oracle-sensitive exposure to prevent "
meta-llama/llama-4-maverick,L10-003,1,1.000,1.000,,json,"{""intent"":""swap"",""order_type"":""private relay"",""asset"":""ETH"",""size"":10000000,""unit"":""usd"",""venue"":""flashbots"",""venue_name"":""Flashbots private relay"",""risk_controls"":{""slippage_tolerance"":""0.5%"",""max_gas"":""40 gwei""},""follow_up"":""monitor fill"",""reasoning"":""Primar"
meta-llama/llama-4-scout,L10-003,1,1.000,1.000,,json,"{ ""intent"": ""execute_trade"", ""order_type"": ""custom"", ""asset"": ""ETH"", ""size"": 10000000, ""unit"": ""usd"", ""venue"": ""flashbots"", ""risk_controls"": { ""max_gas"": ""30 gwei"" }, ""expected_value"": 0.165, ""reasoning"": ""Selected Flashbots for 90% success and 0.15% fee; sequ"
meta-llama/llama-4-scout,L10-005,1,1.000,1.000,,json,"{ ""intent"": ""sell"", ""order_type"": ""TWAP"", ""asset"": ""ALT"", ""size"": 500000, ""unit"": ""usd"", ""price"": 8.20, ""venue"": ""multi-venue"", ""risk_controls"": { ""slippage_tolerance"": 2.0 }, ""follow_up"": ""monitor execution"", ""reasoning"": ""Sold 300,000 ALT on Binance with 0.8"
meta-llama/llama-4-maverick,L10-006,1,1.000,1.000,,json,"{""intent"": ""swap"", ""order_type"": ""limit"", ""asset"": ""veCRV"", ""size"": 5000000, ""unit"": ""usd"", ""price"": 0.7, ""venue"": ""dex"", ""venue_name"": ""curve"", ""risk_controls"": {""slippage_tolerance"": 0.02}, ""follow_up"": ""monitor"", ""reasoning"": ""60% chance of 30% veCRV drop v"
meta-llama/llama-3.3-70b-instruct,L10-008,1,1.000,1.000,,json,"{ ""intent"": ""sell GOV and exit LP"", ""expected_value"": 47500000, ""reasoning"": ""sell $32,000,000 GOV over 14 days with 20% price impact and exit $5,000,000 LP with 2% impermanent loss to meet SEC rules"" }"
meta-llama/llama-4-scout,L10-009,1,1.000,1.000,,json,"{ ""intent"": ""build_bundle"", ""expected_value"": 139000, ""reasoning"": ""Selected liquidation ($300k * 0.9 * 0.1 - $12k) + NFT backrun ($150k * 0.8 * 0.1) = $27k + $12k = $39k; CEX-DEX arb ($500k * 0.85 * 0.1) = $42.5k; Liquidation + CEX-DEX arbitrage ($300k * 0.9 "
meta-llama/llama-4-maverick,L10-010,1,1.000,1.000,,json,"{""intent"": ""execute"", ""order_type"": ""low_gas"", ""asset"": ""ETH"", ""size"": 10, ""unit"": ""transactions"", ""venue"": ""ethereum"", ""risk_controls"": {""max_gas"": 25}, ""expected_value"": 150, ""reasoning"": ""Execute all 10 transactions at Low scenario gas price (25 gwei) to mi"
meta-llama/llama-3.3-70b-instruct,L10-012,1,1.000,1.000,,json,"{ ""intent"": ""rebalance_and_optimize"", ""expected_value"": 54000, ""reasoning"": ""doubling monthly revenue from $18,000,000 to $36,000,000 at 0.15% fee rate"" }"
meta-llama/llama-4-scout,L10-012,1,1.000,1.000,,json,"{ ""intent"": ""rebalance and optimize lightning routing node channels"", ""expected_value"": 54000, ""reasoning"": ""To reach 95% success rate and double monthly revenue, we need to increase successful routed volume to $36,000,000 at 0.15% fee rate. Current monthly re"
meta-llama/llama-3.1-8b-instruct,L10-013,1,1.000,1.000,,json,"{ ""intent"": ""consolidate"", ""expected_value"": 0.012, ""reasoning"": ""Consolidate 2,200 smallest UTXOs into 120 equal-sized outputs across 3 low-fee windows, preserving liquidity and privacy."" }"
meta-llama/llama-3.1-8b-instruct,L10-016,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""expected_value"": 0.55, ""reasoning"": ""Hybrid strategy: 90% success, 0.15% split slippage, $50 private RPC, 0.3975% residual Jito cost"" }"
meta-llama/llama-3.3-70b-instruct,L10-016,1,1.000,1.000,,json,"{ ""intent"": ""swap"", ""expected_value"": 0.55, ""reasoning"": ""Hybrid approach combining private RPC and splitting into micro-swaps to achieve highest protected-completion probability with total expected cost at or below 0.6%"" }"
meta-llama/llama-4-maverick,L10-017,1,1.000,1.000,,json,"{""intent"": ""upgrade"", ""order_type"": ""validator_upgrade"", ""asset"": ""SOL"", ""size"": 500000, ""unit"": ""sol"", ""venue"": ""solana"", ""venue_name"": ""solana_mainnet"", ""risk_controls"": {""slippage_tolerance"": 0, ""max_gas"": 0, ""position_size_limit"": 0}, ""follow_up"": ""monitor"
meta-llama/llama-3.1-8b-instruct,L10-019,1,1.000,1.000,,json,"{ ""intent"": ""optimize"", ""expected_value"": 9.32, ""reasoning"": ""allocated 25% to Maker (5.0% APR), 18.75% to Fluid (6.4% and 8.5% APR weighted average), 18.75% to Pendle (16.0% APR), and 37.5% to Ethena (13.0% APR), meeting all constraints and achieving a target"
meta-llama/llama-4-maverick,L10-020,1,1.000,1.000,,json,"{ ""intent"": ""hedge"", ""order_type"": ""otc"", ""asset"": ""ETH"", ""size"": 25000, ""unit"": ""eth"", ""venue"": ""otc"", ""venue_name"": ""cumberland"", ""risk_controls"": { ""slippage_tolerance"": 0.5 }, ""follow_up"": ""monitor oracle deviation"", ""reasoning"": ""protect $25,000,000 oracl"
meta-llama/llama-4-scout,L10-022,1,0.700,1.000,,json,"{ ""intent"": ""on-chain settlement"", ""order_type"": ""private orderflow"", ""asset"": ""USDC"", ""size"": 15000000, ""unit"": ""usdc"", ""venue"": ""SUAVE"", ""risk_controls"": { ""max_gas"": 30 }, ""expected_value"": 0.1736, ""reasoning"": ""Chose SUAVE private orderflow for 88% success"
meta-llama/llama-3.1-8b-instruct,L10-024,1,1.000,1.000,,json,"{ ""intent"": ""hedge"", ""expected_value"": 18000, ""reasoning"": ""Immediate hedging on Binance minimizes expected cost, ignoring gas and other factors."" }"
meta-llama/llama-4-scout,L10-024,1,1.000,1.000,,json,"{ ""intent"": ""hedge"", ""order_type"": ""market"", ""asset"": ""AVAX-PERP"", ""size"": 240000, ""unit"": ""usd"", ""venue"": ""binance"", ""risk_controls"": { ""slippage_tolerance"": 18000 }, ""expected_value"": 18000, ""reasoning"": ""minimize expected cost by hedging existing inventory"""
meta-llama/llama-3.1-8b-instruct,L10-026,1,1.000,1.000,,json,"{ ""intent"": ""sell"", ""expected_value"": 4080000, ""reasoning"": ""Sell 700,000 TOKEN on Coinbase through TWAP slices and 500,000 TOKEN on Arbitrum through Camelot, treating all-in execution haircuts as fees."" }"
meta-llama/llama-4-scout,L10-026,1,1.000,1.000,,json,"{ ""intent"": ""sell"", ""order_type"": ""TWAP"", ""asset"": ""TOKEN"", ""size"": 1200000, ""unit"": ""TOKEN"", ""price"": 3.40, ""venue"": ""Coinbase"", ""venue_name"": ""Coinbase"", ""risk_controls"": {}, ""follow_up"": """", ""reasoning"": ""Sold 700,000 TOKEN via Coinbase TWAP at 0.45% fee an"
meta-llama/llama-3.1-8b-instruct,L10-027,1,1.000,1.000,,json,"{ ""intent"": ""buy"", ""expected_value"": 3125000, ""reasoning"": ""Buy 200,000 RWA on Kraken at $12.50 + 0.60% fee, then 50,000 RWA on Base at $12.50 + 1.40% all-in price impact"" }"
meta-llama/llama-3.3-70b-instruct,L10-027,1,1.000,1.000,,json,"{ ""intent"": ""buy"", ""expected_value"": 3125000.0, ""reasoning"": ""Buy 250,000 RWA at $12.50 with 0.60% fee on Kraken and 1.40% all-in price impact on Aerodrome"" }"
meta-llama/llama-3.3-70b-instruct,L10-031,1,0.700,1.000,,json,"{ ""intent"": ""sell GOV and rebalance treasury"", ""expected_value"": 30000000, ""reasoning"": ""sell minimum GOV to meet 35% exposure limit, exit ETH LP with 1.5% loss, and rebalance to meet stables above 55% mandate"" }"
meta-llama/llama-3.3-70b-instruct,L10-032,1,0.700,1.000,,json,"{ ""intent"": ""sell GOV and rebalance treasury"", ""expected_value"": 75000000, ""reasoning"": ""sell minimum GOV to meet 30% exposure limit, exit ETH LP with 3% impermanent loss, and rebalance treasury to meet 60% stables requirement"" }"
meta-llama/llama-3.3-70b-instruct,L10-034,1,0.700,1.000,,json,"{ ""intent"": ""select optimal bundle"", ""expected_value"": 146079.2, ""reasoning"": ""knapsack optimization of MEV opportunities with gas limit constraint"" }"
