L1-001 (L1, score=0.869, durationMs=1650)
L1-002 (L1, score=0.897, durationMs=1881)
L2-002 (L2, score=0.792, durationMs=1700)
L5-004 (L5, score=0.858, durationMs=3649)
L5-005 (L5, score=0.847, durationMs=3771)
L6-002 (L6, score=0.775, durationMs=1453)
L6-004 (L6, score=0.856, durationMs=2165)
L6-005 (L6, score=0.784, durationMs=2670)
L7-005 (L7, score=0.854, durationMs=9279)
L8-003 (L8, score=0.807, durationMs=3487)
L8-005 (L8, score=1.000, durationMs=3661)
L8-006 (L8, score=0.940, durationMs=2108)
L8-009 (L8, score=1.000, durationMs=6067)
L9-011 (L9, score=1.000, durationMs=3458)
L9-012 (L9, score=1.000, durationMs=793)
L9-028 (L9, score=1.000, durationMs=1717)
L9-068 (L9, score=1.000, durationMs=3798)
L9-076 (L9, score=1.000, durationMs=4111)
L10-008 (L10, score=1.000, durationMs=1871)
L10-013 (L10, score=1.000, durationMs=1081)
L10-016 (L10, score=1.000, durationMs=1156)
L10-019 (L10, score=1.000, durationMs=2184)
L10-024 (L10, score=1.000, durationMs=1129)
L10-025 (L10, score=1.000, durationMs=872)
L10-027 (L10, score=1.000, durationMs=2370)
L10-029 (L10, score=1.000, durationMs=1516)
L10-045 (L10, score=1.000, durationMs=395)
L10-046 (L10, score=1.000, durationMs=1802)
L10-047 (L10, score=1.000, durationMs=2611)
L10-048 (L10, score=1.000, durationMs=1320)
L10-049 (L10, score=1.000, durationMs=2124)
L10-059 (L10, score=1.000, durationMs=965)
L10-063 (L10, score=0.700, durationMs=912)
AGI-004 (L11, score=0.731, durationMs=5480)
