question_id,pass_models,pass_count,model_expected_value,canonical_expected_value,canonical_range,score,confidence,duration_ms,prompt_excerpt,raw_excerpt
L10-008,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,3,47500000,48400000,"[47500000,49000000]",1.000,1.00,1871,"A DAO treasury holds $50,000,000 (80% GOV token, 10% stables, remainder ETH and LP positions). SEC rules require GOV exposure under 40% and stables above 50%. Stats: - GOV daily volume $8,000,000 with 20% price impact at $4,000,000 per day","{ ""intent"": ""sell"", ""expected_value"": 47500000, ""reasoning"": ""Sell GOV in 14 days to meet SEC rules, with 20% daily price impact, and 2% impermanent loss on LP exit"" }"
L10-013,meta-llama/llama-3.1-8b-instruct,1,0.017,0.0154,"[0.012,0.018]",1.000,1.00,1081,"Manage 2,847 UTXOs totaling 156.3 BTC. Consolidate within 90 days while keeping at least 20 BTC liquid and total transaction costs below 0.05 BTC. Use native SegWit inputs at 68 vbytes each, consolidation outputs at 31 vbytes each, and 350 ","{ ""intent"": ""consolidate"", ""expected_value"": 0.017, ""reasoning"": ""consolidate 2,200 smallest UTXOs into 120 equal-sized outputs across three low-fee windows, preserving liquidity and privacy"" }"
L10-016,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,3,0.55,0.55,"[0.45,0.65]",1.000,1.00,1156,"Execute a $2,000,000 USDC to SOL swap via Jupiter on Solana. The network lacks a public mempool; 95% of stake uses Jito bundles for MEV extraction. Historical attack rate is 73% for swaps over $500,000 with an average 0.8% slippage loss. O","{ ""intent"": ""swap"", ""expected_value"": 0.55, ""reasoning"": ""Hybrid strategy: 90% success, 0.15% split slippage, $50 private RPC, 0.3975% residual Jito cost"" }"
L10-019,meta-llama/llama-3.1-8b-instruct,1,9.32,9.26,"[9,9.5]",1.000,1.00,2184,"You manage an $8,000,000 USDT portfolio over 60 days across Maker, Fluid, Pendle, and Ethena: 1. Maker sUSDS: fixed 5.0% APR and liquid within 24 hours. 2. Fluid USDC/USDT vault: 50% chance of 6.4% APR, 30% chance of 8.5% APR, 20% chance o","{ ""intent"": ""optimize"", ""expected_value"": 9.32, ""reasoning"": ""allocated 50% to Maker (5.0% APR), 25% to Fluid (6.4% APR), 12.5% to Pendle (16.0% APR), and 12.5% to Ethena (13.0% APR), achieving a target pre-tail-loss nominal APR above 8.0% and a portfolio expected catastrophic loss below 1.5% of capital"" }"
L10-024,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,2,18000,18000,"[16000,20000]",1.000,1.00,1129,"You market-make AVAX-PERP on dYdX with $3,000,000 capital. A spoofed OKX print pushes the composite AVAX oracle up by $1.80 for several seconds, creating an unhedged inventory loss of $240,000 if you keep the current skewed exposure. Optio","{ ""intent"": ""hedge"", ""expected_value"": 18000, ""reasoning"": ""Immediate hedge on Binance minimizes expected cost of $18,000 slippage"" }"
L10-025,meta-llama/llama-3.1-8b-instruct,1,7200,7200,"[6500,8000]",1.000,1.00,872,"You market-make SOL-PERP on Aevo with $1,500,000 capital. A thin Bybit liquidation print pulls the SOL oracle down by $0.95, and your existing inventory would lose $96,000 if left unhedged during the oracle window. Options: 1. Cancel quote","{ ""intent"": ""hedge"", ""expected_value"": 7200, ""reasoning"": ""Immediate hedging on OKX to neutralize existing exposure"" }"
L10-027,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,2,3125000,3152845,"[3120000,3190000]",1.000,1.00,2370,"Buy 250,000 RWA at $12.50 within 12 hours before an index inclusion announcement. Venues: - Kraken: 0.60% fee with $80,000 reusable depth per TWAP slice. - Coinbase: 0.80% fee with $70,000 reusable depth per slice, but no USDC is available","{ ""intent"": ""buy"", ""expected_value"": 3125000, ""reasoning"": ""Buy 200,000 RWA on Kraken at $12.50 + 0.60% fee, then buy 50,000 RWA on Base through Aerodrome at $12.50 + 1.40% all-in price impact"" }"
L10-029,meta-llama/llama-3.1-8b-instruct,1,1200000,1260000,"[1200000,1320000]",1.000,1.00,1516,"You control $6,000,000 of veFXS. A Frax governance vote in 6 weeks may reduce veFXS-directed emissions, causing a 20% veFXS price drop and a 30% pump in a liquid bribe-aggregator token called FXTL if the vote passes. The vote has a 70% prob","{ ""intent"": ""convert"", ""expected_value"": 1200000, ""reasoning"": ""Convert to FXTL at time zero to capture the probability-weighted FXTL price move, which is expected to be 30% higher than the current price, resulting in a profit of $1,200,000."" }"
L10-045,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,3,0.37,0.37,"[0.33,0.42]",1.000,1.00,395,"Execute a $5,000,000 ETH to USDC swap on Ethereum mainnet. The public mempool exposes swaps above $250,000 to sandwiching; historical attack rate is 68% with average 0.9% adverse slippage. Options: 1. Submit through Flashbots Protect with ","{ ""intent"": ""swap"", ""expected_value"": 0.37, ""reasoning"": ""Hybrid strategy with 93% success probability and 0.37% expected total cost"" }"
L10-046,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,3,0.35,0.35,"[0.31,0.4]",1.000,1.00,1802,"Execute a $3,000,000 USDC to ARB swap on Arbitrum. Sequencer-adjacent orderflow exposes swaps above $250,000 to backrunning; historical attack rate is 61% with average 0.7% adverse slippage. Options: 1. Use a private RPC relay costing $300","{ ""intent"": ""swap"", ""expected_value"": 0.35, ""reasoning"": ""Hybrid strategy: 92% success probability, 0.35% expected total cost, 15 child orders of $200,000 each, private solver/RPC route, and 0.24% residual adverse-selection cost"" }"
