row_type,model,total,L1-001,L1-002,L1-003,L2-001,L2-002,L2-003,L2-004,L3-001,L3-002,L3-003,L4-001,L4-002,L4-003,L4-004,L4-005,L5-001,L5-002,L5-003,L5-004,L5-005,L6-001,L6-002,L6-003,L6-004,L6-005,L7-001,L7-002,L7-003,L7-004,L7-005,L8-001,L8-002,L8-003,L8-004,L8-005,L8-006,L8-007,L8-008,L8-009,L8-010,L9-001,L9-002,L9-003,L9-004,L9-005,L9-006,L9-007,L9-008,L9-009,L9-010,L9-011,L9-012,L9-013,L9-014,L9-015,L9-016,L9-017,L9-018,L9-019,L9-020,L9-021,L9-022,L9-023,L9-024,L9-025,L9-026,L9-027,L9-028,L9-029,L9-030,L9-031,L9-032,L9-033,L9-034,L9-035,L9-036,L9-037,L9-038,L9-039,L9-040,L9-041,L9-042,L9-043,L9-044,L9-045,L9-046,L9-047,L9-048,L9-049,L9-050,L9-051,L9-052,L9-053,L9-054,L9-055,L9-056,L9-057,L9-058,L9-059,L9-060,L9-061,L9-062,L9-063,L9-064,L9-065,L9-066,L9-067,L9-068,L9-069,L9-070,L9-071,L9-072,L9-073,L9-074,L9-075,L9-076,L9-077,L9-078,L9-079,L9-080,L9-081,L10-001,L10-002,L10-003,L10-004,L10-005,L10-006,L10-007,L10-008,L10-009,L10-010,L10-011,L10-012,L10-013,L10-014,L10-015,L10-016,L10-017,L10-018,L10-019,L10-020,L10-021,L10-022,L10-023,L10-024,L10-025,L10-026,L10-027,L10-028,L10-029,L10-030,L10-031,L10-032,L10-033,L10-034,L10-035,L10-036,L10-037,L10-038,L10-039,L10-040,L10-041,L10-042,L10-043,L10-044,L10-045,L10-046,L10-047,L10-048,L10-049,L10-050,L10-051,L10-052,L10-053,L10-054,L10-055,L10-056,L10-057,L10-058,L10-059,L10-060,L10-061,L10-062,L10-063,L10-064,L10-065,L10-066,L10-067,L10-068,L10-069,AGI-001,AGI-002,AGI-003,AGI-004,AGI-005,AGI-006,AGI-007,AGI-008,AGI-009,AGI-010,AGI-011,AGI-012,AGI-013,AGI-014,AGI-015,AGI-021,AGI-022,AGI-023,AGI-024,AGI-025,AGI-026,AGI-027,AGI-028,AGI-029,AGI-030,AGI-031,AGI-032,AGI-033,AGI-034,AGI-035,AGI-036,AGI-037,AGI-038,AGI-039,AGI-040,AGI-041,AGI-042,AGI-043,AGI-044,AGI-045,AGI-046,AGI-047,AGI-048,AGI-049,AGI-050,AGI-051,AGI-052,AGI-053,AGI-054,AGI-055,AGI-056,AGI-057,AGI-058,AGI-059,AGI-060,AGI-061,AGI-062,AGI-063,AGI-064,AGI-065,AGI-066,AGI-067,AGI-068,AGI-069,AGI-070,AGI-071,AGI-072,AGI-073,AGI-074,AGI-075,AGI-076,AGI-077,AGI-078,AGI-079,AGI-080,AGI-081,AGI-082,AGI-083,AGI-084,AGI-085,AGI-086,AGI-087,AGI-088,AGI-089,AGI-090,AGI-091,AGI-092,AGI-093,AGI-094,AGI-095,AGI-096,AGI-097,AGI-098,AGI-099,AGI-100,AGI-101,AGI-102,AGI-103,AGI-104,AGI-105,AGI-106,AGI-107,AGI-108,AGI-109,AGI-110,AGI-111,AGI-112,AGI-113,AGI-114,AGI-115
tier,,,L1,L1,L1,L2,L2,L2,L2,L3,L3,L3,L4,L4,L4,L4,L4,L5,L5,L5,L5,L5,L6,L6,L6,L6,L6,L7,L7,L7,L7,L7,L8,L8,L8,L8,L8,L8,L8,L8,L8,L8,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L9,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,L10,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI,AGI
pass_count,,,68,68,61,48,66,65,7,19,10,41,25,14,2,10,1,0,0,27,66,65,1,54,41,46,63,0,18,4,42,62,19,24,55,51,47,61,38,40,52,54,46,29,40,37,24,6,13,31,43,43,68,67,8,35,25,48,35,34,1,56,14,33,24,37,36,35,8,57,8,34,24,48,34,32,3,57,16,34,32,44,38,29,0,52,9,36,36,42,27,27,5,56,12,32,27,44,28,27,4,55,9,33,34,42,35,31,32,67,11,34,36,40,20,31,35,66,8,39,24,38,27,29,46,24,4,56,12,27,32,40,40,1,53,33,1,7,42,17,29,39,45,49,27,27,13,10,53,47,33,40,34,37,33,39,35,37,46,48,41,50,52,38,44,23,17,35,37,47,46,30,22,24,33,35,38,40,24,33,31,59,33,12,31,51,27,33,33,29,29,29,2,1,0,7,0,3,0,0,0,0,0,0,1,4,21,0,0,0,15,12,12,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,19,0,0,0,35,35,35,0,0,0,0,3,0,0,0,19,21,15,19,0,0,0,0,18,5,26,7,16,12,17,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,2
model,qwen/qwen3.7-plus,176,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
model,qwen/qwen3.6-max-preview,174,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
model,qwen/qwen3.7-max,170,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
model,qwen/qwen3.6-27b,166,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
model,qwen/qwen3.5-plus-20260420,165,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
model,qwen/qwen3.6-flash,165,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
model,moonshotai/kimi-k2.7-code,163,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
model,moonshotai/kimi-k2.5,159,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
