question_id,level,rubric_id,prompt,model,pass_count_3,majority_pass,pass_bits_n1_n2_n3,scores_n1_n2_n3,avg_score,median_score,avg_duration_ms
L1-001,L1,market_buy,Buy 0.5 BTC at market price,mistralai/mistral-medium-3-5,3,1,1|1|1,0.869|0.869|0.869,0.869,0.869,1653
L1-001,L1,market_buy,Buy 0.5 BTC at market price,mistralai/mistral-small-2603,3,1,1|1|1,0.869|0.869|0.869,0.869,0.869,1037
L1-002,L1,limit_buy,Buy 10 SOL using a limit order at $95,mistralai/mistral-medium-3-5,3,1,1|1|1,0.895|0.902|0.895,0.897,0.895,1289
L1-002,L1,limit_buy,Buy 10 SOL using a limit order at $95,mistralai/mistral-small-2603,3,1,1|1|1,0.96|0.96|0.96,0.960,0.960,1639
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",mistralai/mistral-medium-3-5,3,1,1|1|1,0.837|0.837|0.855,0.843,0.837,2189
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",mistralai/mistral-small-2603,2,1,0|1|1,0.592|0.77|0.803,0.722,0.770,1231
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,mistralai/mistral-medium-3-5,3,1,1|1|1,0.85|0.85|0.85,0.850,0.850,2111
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,mistralai/mistral-small-2603,1,0,0|0|1,0.69|0.69|0.85,0.743,0.690,1878
L2-002,L2,dex_swap,"Buy 100,000 PEPE with 15% slippage tolerance",mistralai/mistral-medium-3-5,3,1,1|1|1,0.926|0.926|0.926,0.926,0.926,1361
L2-002,L2,dex_swap,"Buy 100,000 PEPE with 15% slippage tolerance",mistralai/mistral-small-2603,3,1,1|1|1,0.926|0.926|0.926,0.926,0.926,1061
L2-003,L2,dex_swap,Buy 1000 MATIC with minimal gas fees,mistralai/mistral-medium-3-5,3,1,1|1|1,0.77|0.77|0.77,0.770,0.770,2533
L2-003,L2,dex_swap,Buy 1000 MATIC with minimal gas fees,mistralai/mistral-small-2603,3,1,1|1|1,0.92|0.92|0.77,0.870,0.920,1281
L2-004,L2,arbitrage,"Analyze liquidity before swapping 50,000 USDC for WETH",mistralai/mistral-medium-3-5,0,0,0|0|0,0.582|0.582|0.582,0.582,0.582,2109
L2-004,L2,arbitrage,"Analyze liquidity before swapping 50,000 USDC for WETH",mistralai/mistral-small-2603,0,0,0|0|0,0.582|0.582|0.582,0.582,0.582,2071
L3-001,L3,cross_chain_bridge,Bridge 1000 USDC to Arbitrum and buy ARB,mistralai/mistral-medium-3-5,1,0,1|0|0,0.939|0.583|0.583,0.702,0.583,2197
L3-001,L3,cross_chain_bridge,Bridge 1000 USDC to Arbitrum and buy ARB,mistralai/mistral-small-2603,0,0,0|0|0,0.422|0.448|0.448,0.439,0.448,1325
L3-002,L3,cross_chain_bridge,"Split 10,000 USDC equally across Ethereum, Arbitrum, and Optimism",mistralai/mistral-medium-3-5,0,0,0|0|0,0.627|0|0,0.209,0.000,2026
L3-002,L3,cross_chain_bridge,"Split 10,000 USDC equally across Ethereum, Arbitrum, and Optimism",mistralai/mistral-small-2603,0,0,0|0|0,0.333|0.39|0,0.241,0.333,1257
L3-003,L3,cross_chain_bridge,Bridge 2 ETH from Ethereum to Polygon and swap for MATIC,mistralai/mistral-medium-3-5,3,1,1|1|1,0.904|0.904|0.985,0.931,0.904,2350
L3-003,L3,cross_chain_bridge,Bridge 2 ETH from Ethereum to Polygon and swap for MATIC,mistralai/mistral-small-2603,0,0,0|0|0,0.668|0.668|0.668,0.668,0.668,1173
L4-001,L4,arbitrage,"Rebalance my portfolio to 60% BTC, 30% ETH, 10% USDC. Optimize for matching the 60/30/10 target weights exactly; if current holdings are missing, require follow-up before execution.",mistralai/mistral-medium-3-5,3,1,1|1|1,0.895|0.895|0.892,0.894,0.895,1727
L4-001,L4,arbitrage,"Rebalance my portfolio to 60% BTC, 30% ETH, 10% USDC. Optimize for matching the 60/30/10 target weights exactly; if current holdings are missing, require follow-up before execution.",mistralai/mistral-small-2603,1,0,0|0|1,0|0.497|1,0.499,0.497,1235
L4-002,L4,arbitrage,"Assess correlation risk across BTC, ETH, SOL, MATIC, LINK. Optimize for identifying portfolio-wide correlation risk across all five listed assets and actionable diversification implications.",mistralai/mistral-medium-3-5,0,0,0|0|0,0|0|0,0.000,0.000,2929
L4-002,L4,arbitrage,"Assess correlation risk across BTC, ETH, SOL, MATIC, LINK. Optimize for identifying portfolio-wide correlation risk across all five listed assets and actionable diversification implications.",mistralai/mistral-small-2603,0,0,0|0|0,0|0|0,0.000,0.000,1696
L4-003,L4,arbitrage,Identify tax loss harvesting opportunities in my portfolio,mistralai/mistral-medium-3-5,0,0,0|0|0,0.399|0.399|0.399,0.399,0.399,2601
L4-003,L4,arbitrage,Identify tax loss harvesting opportunities in my portfolio,mistralai/mistral-small-2603,0,0,0|0|0,0.379|0.379|0.379,0.379,0.379,1485
L4-004,L4,arbitrage_stress_test,Stress test my portfolio for a -50% crypto crash,mistralai/mistral-medium-3-5,0,0,0|0|0,0|0|0,0.000,0.000,1850
L4-004,L4,arbitrage_stress_test,Stress test my portfolio for a -50% crypto crash,mistralai/mistral-small-2603,0,0,0|0|0,0|0|0,0.000,0.000,1063
L4-005,L4,arbitrage,Calculate my Sharpe ratio given the context data,mistralai/mistral-medium-3-5,0,0,0|0|0,0.383|0.383|0.523,0.430,0.383,2275
L4-005,L4,arbitrage,Calculate my Sharpe ratio given the context data,mistralai/mistral-small-2603,0,0,0|0|0,0.243|0.48|0.503,0.409,0.480,2335
