question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L1-001,1,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.756,3285,1,0.869,5369,,1,0.869,1904,,0,0.419,4218,mismatch_fieldname|mismatch_fieldname,1,0.869,1650,
L1-002,1,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.935,3282,1,1.000,4698,,1,0.904,4666,,1,0.940,1881,,1,0.897,1881,
L1-003,1,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.775,3028,1,0.875,3035,,1,1.000,5333,,0,0.637,1898,,0,0.589,1844,
L2-001,2,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.730,3221,0,0.690,3000,,0,0.690,3257,,1,0.850,3974,,0,0.690,2651,
L2-002,2,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.855,3248,1,0.926,1027,,1,0.776,5501,,1,0.926,4765,,1,0.792,1700,
L2-003,2,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.838,4572,1,0.976,4056,,1,0.920,5756,,1,0.821,6546,,0,0.635,1930,
L2-004,2,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.621,3000,0,0.672,3140,,0,0.605,2604,,0,0.605,4357,,0,0.605,1900,
L3-001,3,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.584,5763,0,0.663,11560,,0,0.443,6072,,1,0.866,2603,,0,0.364,2817,
L3-002,3,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.568,3858,0,0.550,5087,,0,0.529,3809,,0,0.649,4704,,0,0.545,1832,
L3-003,3,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.783,6536,1,0.795,11222,,1,0.814,6980,,1,0.963,5632,,0,0.559,2308,
L4-001,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.195,4045,1,0.780,7735,,0,0.000,3084,rebalance_missing_percentages,0,0.000,2592,missing_field|missing_field|rebalance_missing_assets,0,0.000,2768,rebalance_missing_percentages
L4-002,4,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.176,4393,1,0.704,3713,,0,0.000,3426,correlation_invalid_order_type,0,0.000,7534,correlation_invalid_order_type,0,0.000,2897,correlation_invalid_order_type
L4-003,4,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.411,8238,0,0.418,23226,,0,0.399,3584,,0,0.279,2171,,0,0.546,3969,
L4-004,4,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.230,5440,0,0.000,13547,stress_test_invalid_size,1,0.920,4194,,0,0.000,3554,stress_test_invalid_size,0,0.000,463,stress_test_invalid_order_type
L4-005,4,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.492,3660,0,0.623,7462,,0,0.492,2865,,0,0.377,2565,,0,0.478,1748,
L5-001,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.508,3602,0,0.566,2931,,0,0.473,4255,,0,0.497,3675,,0,0.497,3546,
L5-002,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2983,0,0.000,1704,leverage_invalid_intent,0,0.000,6090,leverage_invalid_intent,0,0.000,1217,leverage_invalid_order_type,0,0.000,2920,leverage_invalid_order_type
L5-003,5,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.618,10786,0,0.617,31572,,0,0.598,4236,,0,0.581,2629,,0,0.673,4706,
L5-004,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.902,3250,1,1.000,2292,,1,0.873,4884,,1,0.879,2174,,1,0.858,3649,
L5-005,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.895,2829,1,0.947,3335,,1,0.934,1391,,1,0.853,2820,,1,0.847,3771,
L6-001,6,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2571,0,0.000,2853,options_missing_call_type,0,0.000,4898,options_missing_call_type,0,0.000,1001,options_asset_encoded,0,0.000,1533,options_missing_call_type
L6-002,6,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.831,3964,1,0.895,11550,,1,0.895,2147,,1,0.760,706,,1,0.775,1453,
L6-003,6,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.720,3323,1,0.775,3544,,1,0.775,4960,,0,0.673,2988,mismatch_fieldname,0,0.657,1799,
L6-004,6,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.784,3845,0,0.576,5230,mismatch_fieldname,1,0.840,4770,,1,0.863,3215,,1,0.856,2165,
